patcnty1,dsch_yr,mdc,mdc_desc,Discharges,AnnotationCode,AnnotationDesc
Alameda,2014,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1377,,
Alameda,2014,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1932,,
Alameda,2014,22,BURNS,99,,
Alameda,2014,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2473,,
Alameda,2014,24,MULTIPLE SIGNFICANT TRAUMA,336,,
Alameda,2014,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,249,,
Alameda,2015,0,UNGROUPABLE,11,,
Alameda,2015,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7712,,
Alameda,2015,2,"EYE, DISEASES & DISORDERS",147,,
Alameda,2015,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1348,,
Alameda,2015,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",10453,,
Alameda,2015,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",12915,,
Alameda,2015,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",10015,,
Alameda,2015,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3652,,
Alameda,2015,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11273,,
Alameda,2015,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3122,,
Alameda,2015,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3803,,
Alameda,2015,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4902,,
Alameda,2015,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",399,,
Alameda,2015,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1441,,
Alameda,2015,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20323,,
Alameda,2015,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,19843,,
Alameda,2015,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1562,,
Alameda,2015,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1271,,
Alameda,2015,18,INFECTIOUS & PARASITIC DISEASES,9544,,
Alameda,2015,19,MENTAL DISEASES & DISORDERS,7256,,
Alameda,2015,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1225,,
Alameda,2015,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1746,,
Alameda,2015,22,BURNS,94,,
Alameda,2015,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2282,,
Alameda,2015,24,MULTIPLE SIGNFICANT TRAUMA,364,,
Alameda,2015,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,249,,
Alameda,2016,0,UNGROUPABLE,1,,
Alameda,2016,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8223,,
Alameda,2016,2,"EYE, DISEASES & DISORDERS",203,,
Alameda,2016,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1213,,
Alameda,2016,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9858,,
Alameda,2016,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13209,,
Alameda,2016,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",10120,,
Alameda,2016,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3666,,
Alameda,2016,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11622,,
Alameda,2016,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3008,,
Alameda,2016,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3979,,
Alameda,2016,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",5075,,
Alameda,2016,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",399,,
Alameda,2016,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1368,,
Alameda,2016,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20644,,
Alameda,2016,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,20105,,
Alameda,2016,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1556,,
Alameda,2016,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1440,,
Alameda,2016,18,INFECTIOUS & PARASITIC DISEASES,9991,,
Alameda,2016,19,MENTAL DISEASES & DISORDERS,7065,,
Alameda,2016,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1248,,
Alameda,2016,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1684,,
Alameda,2016,22,BURNS,79,,
Alameda,2016,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,1226,,
Alameda,2016,24,MULTIPLE SIGNFICANT TRAUMA,385,,
Alameda,2016,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,219,,
Alameda,2017,0,UNGROUPABLE,6,,
Alameda,2017,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8242,,
Alameda,2017,2,"EYE, DISEASES & DISORDERS",167,,
Alameda,2017,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1259,,
Alameda,2017,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9845,,
Alameda,2017,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13363,,
Alameda,2017,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",9692,,
Alameda,2017,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3708,,
Alameda,2017,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11459,,
Alameda,2017,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2884,,
Alameda,2017,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3904,,
Alameda,2017,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4794,,
Alameda,2017,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",407,,
Alameda,2017,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1104,,
Alameda,2017,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",19881,,
Alameda,2017,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,19154,,
Alameda,2017,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1474,,
Alameda,2017,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1399,,
Alameda,2017,18,INFECTIOUS & PARASITIC DISEASES,10953,,
Alameda,2017,19,MENTAL DISEASES & DISORDERS,6938,,
Alameda,2017,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1195,,
Alameda,2017,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1610,,
Alameda,2017,22,BURNS,113,,
Alameda,2017,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,1174,,
Alameda,2017,24,MULTIPLE SIGNFICANT TRAUMA,384,,
Alameda,2017,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,241,,
Alameda,2018,0,UNGROUPABLE,3,,
Alameda,2018,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8269,,
Alameda,2018,2,"EYE, DISEASES & DISORDERS",160,,
Alameda,2018,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1221,,
Alameda,2018,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9344,,
Alameda,2018,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",14103,,
Alameda,2018,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",9365,,
Alameda,2018,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3615,,
Alameda,2018,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",10274,,
Alameda,2018,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2466,,
Alameda,2018,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3823,,
Alameda,2018,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4607,,
Alameda,2018,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",396,,
Alameda,2018,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1017,,
Alameda,2018,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",19403,,
Alameda,2018,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,18595,,
Alameda,2018,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1492,,
Alameda,2018,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1270,,
Alameda,2018,18,INFECTIOUS & PARASITIC DISEASES,11542,,
Alameda,2018,19,MENTAL DISEASES & DISORDERS,6734,,
Alameda,2018,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1111,,
Alameda,2018,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1605,,
Alameda,2018,22,BURNS,115,,
Alameda,2018,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,909,,
Alameda,2018,24,MULTIPLE SIGNFICANT TRAUMA,404,,
Alameda,2018,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,206,,
Alameda,2019,0,PRE-MDC,509,,
Alameda,2019,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8251,,
Alameda,2019,2,"EYE, DISEASES & DISORDERS",171,,
Alameda,2019,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1039,,
Alameda,2019,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",8973,,
Alameda,2019,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13985,,
Alameda,2019,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",9227,,
Alameda,2019,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3566,,
Alameda,2019,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",10232,,
Alameda,2019,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2421,,
Alameda,2019,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3813,,
Alameda,2019,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4693,,
Alameda,2019,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",412,,
Alameda,2019,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",988,,
Alameda,2019,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",19299,,
Alameda,2019,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,18288,,
Alameda,2019,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1380,,
Alameda,2019,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1290,,
Alameda,2019,18,INFECTIOUS & PARASITIC DISEASES,11680,,
Alameda,2019,19,MENTAL DISEASES & DISORDERS,6496,,
Alameda,2019,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1110,,
Alameda,2019,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1657,,
Alameda,2019,22,BURNS,115,,
Alameda,2019,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,942,,
Alameda,2019,24,MULTIPLE SIGNFICANT TRAUMA,387,,
Alameda,2019,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,228,,
Alameda,2020,0,PRE-MDC,475,,
Alameda,2020,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7464,,
Alameda,2020,2,"EYE, DISEASES & DISORDERS",159,,
Alameda,2020,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",837,,
Alameda,2020,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",8696,,
Alameda,2020,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",11849,,
Alameda,2020,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",7948,,
Alameda,2020,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3153,,
Alameda,2020,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7600,,
Alameda,2020,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",1858,,
Alameda,2020,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3481,,
Alameda,2020,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4104,,
Alameda,2020,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",275,,
Alameda,2020,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",783,,
Alameda,2020,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",18398,,
Alameda,2020,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,17697,,
Alameda,2020,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1221,,
Alameda,2020,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1187,,
Alameda,2020,18,INFECTIOUS & PARASITIC DISEASES,11212,,
Alameda,2020,19,MENTAL DISEASES & DISORDERS,6269,,
Alameda,2020,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1022,,
Alameda,2020,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1634,,
Alameda,2020,22,BURNS,114,,
Alameda,2020,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,699,,
Alameda,2020,24,MULTIPLE SIGNFICANT TRAUMA,377,,
Alameda,2020,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,156,,
Alameda,2021,0,PRE-MDC,4,,
Alameda,2021,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8035,,
Alameda,2021,2,"EYE, DISEASES & DISORDERS",166,,
Alameda,2021,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",959,,
Alameda,2021,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",8525,,
Alameda,2021,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13374,,
Alameda,2021,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",8166,,
Alameda,2021,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3452,,
Alameda,2021,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7798,,
Alameda,2021,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",1851,,
Alameda,2021,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3863,,
Alameda,2021,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4342,,
Alameda,2021,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",254,,
Alameda,2021,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",785,,
Alameda,2021,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",17968,,
Alameda,2021,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,17157,,
Alameda,2021,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1273,,
Alameda,2021,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1365,,
Alameda,2021,18,INFECTIOUS & PARASITIC DISEASES,11897,,
Alameda,2021,19,MENTAL DISEASES & DISORDERS,5987,,
Alameda,2021,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1098,,
Alameda,2021,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1632,,
Alameda,2021,22,BURNS,112,,
Alameda,2021,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,735,,
Alameda,2021,24,MULTIPLE SIGNFICANT TRAUMA,492,,
Alameda,2021,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,152,,
Alameda,2022,0,PRE-MDC,10,,
Alameda,2022,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8337,,
Alameda,2022,2,"EYE, DISEASES & DISORDERS",189,,
Alameda,2022,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",928,,
Alameda,2022,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9318,,
Alameda,2022,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13722,,
Alameda,2022,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",8406,,
Alameda,2022,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3539,,
Alameda,2022,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7554,,
Alameda,2022,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2020,,
Alameda,2022,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",4282,,
Alameda,2022,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4630,,
Alameda,2022,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",250,,
Alameda,2022,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",840,,
Alameda,2022,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",17729,,
Alameda,2022,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,17114,,
Alameda,2022,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1354,,
Alameda,2022,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1461,,
Alameda,2022,18,INFECTIOUS & PARASITIC DISEASES,12058,,
Alameda,2022,19,MENTAL DISEASES & DISORDERS,5374,,
Alameda,2022,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1115,,
Alameda,2022,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1651,,
Alameda,2022,22,BURNS,87,,
Alameda,2022,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,656,,
Alameda,2022,24,MULTIPLE SIGNFICANT TRAUMA,410,,
Alameda,2022,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,174,,
Alameda,2023,0,PRE-MDC,7,,
Alameda,2023,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8830,,
Alameda,2023,2,"EYE, DISEASES & DISORDERS",227,,
Alameda,2023,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1087,,
Alameda,2023,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9393,,
Alameda,2023,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",14217,,
Alameda,2023,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",8877,,
Alameda,2023,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3667,,
Alameda,2023,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",8151,,
Alameda,2023,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2219,,
Alameda,2023,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",4688,,
Alameda,2023,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4865,,
