patcnty1,dsch_yr,disp1,Discharges
Alpine,2017,Home Health Service,3
Alpine,2017,Left Against Medical Advice,1
Alpine,2017,Routine (Home),25
Alpine,2018,Acute Care,7
Alpine,2018,Critical Access Hospital,1
Alpine,2018,Died,2
Alpine,2018,Home Health Service,1
Alpine,2018,Hospice_Care,1
Alpine,2018,Left Against Medical Advice,1
Alpine,2018,Rehab,1
Alpine,2018,Routine (Home),41
Alpine,2018,Skilled Nursing/Intermediate Care (SN/IC),2
Alpine,2019,Home Health Service,2
Alpine,2019,Routine (Home),22
Alpine,2020,Acute Care,5
Alpine,2020,Hospice_Care,1
Alpine,2020,Left Against Medical Advice,1
Alpine,2020,Routine (Home),19
Alpine,2021,Acute Care,1
Alpine,2021,Died,1
Alpine,2021,Home Health Service,3
Alpine,2021,Left Against Medical Advice,3
Alpine,2021,Prison/Jail,1
Alpine,2021,Routine (Home),25
Alpine,2021,Skilled Nursing/Intermediate Care (SN/IC),3
Alpine,2022,Acute Care,3
Alpine,2022,Home Health Service,2
Alpine,2022,Routine (Home),17
Alpine,2022,Skilled Nursing/Intermediate Care (SN/IC),3
Alpine,2023,Acute Care,2
Alpine,2023,Routine (Home),22
Alpine,2023,Skilled Nursing/Intermediate Care (SN/IC),1
Amador,2012,Acute Care at another hospital,218
Amador,2012,Acute Care within the admitting hospital,8
Amador,2012,Died,104
Amador,2012,Home Health Service,481
Amador,2012,Left Against Medical Advice,23
Amador,2012,Other,18
Amador,2012,Other Care (not SN/IC) at another hospital,34
Amador,2012,Other Care with the admitting hospital,13
Amador,2012,Prison/Jail,188
Amador,2012,Residential Care facility,30
Amador,2012,Routine (Home),2873
Amador,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,24
Amador,2012,SN/IC at another facility,375
Amador,2013,Acute Care at another hospital,164
Amador,2013,Acute Care within the admitting hospital,2
Amador,2013,Died,101
Amador,2013,Home Health Service,528
Amador,2013,Left Against Medical Advice,29
Amador,2013,Other,9
Amador,2013,Other Care (not SN/IC) at another hospital,34
Amador,2013,Other Care with the admitting hospital,11
Amador,2013,Prison/Jail,201
Amador,2013,Residential Care facility,27
Amador,2013,Routine (Home),2682
Amador,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,8
Amador,2013,SN/IC at another facility,360
Amador,2014,Acute Care at another hospital,165
Amador,2014,Acute Care within the admitting hospital,3
Amador,2014,Died,118
Amador,2014,Home Health Service,534
Amador,2014,Invalid,1
Amador,2014,Left Against Medical Advice,22
Amador,2014,Other,8
Amador,2014,Other Care (not SN/IC) at another hospital,61
Amador,2014,Other Care with the admitting hospital,16
Amador,2014,Prison/Jail,247
Amador,2014,Residential Care facility,23
Amador,2014,Routine (Home),2623
Amador,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,7
Amador,2014,SN/IC at another facility,389
Amador,2015,Acute Care,178
Amador,2015,Childrens_or_Cancer,9
Amador,2015,Critical Access Hospital,8
Amador,2015,Died,99
Amador,2015,Home Health Service,625
Amador,2015,Hospice_Care,62
Amador,2015,Invalid or Blank,7
Amador,2015,Left Against Medical Advice,90
Amador,2015,Not_Defined_Elsewhere,19
Amador,2015,Other,2
Amador,2015,Prison/Jail,221
Amador,2015,Psychiatric_Care,4
Amador,2015,Rehab,41
Amador,2015,Residential Care facility,15
Amador,2015,Routine (Home),2707
Amador,2015,Skilled Nursing/Intermediate Care (SN/IC),447
Amador,2016,Acute Care,184
Amador,2016,Childrens_or_Cancer,1
Amador,2016,Critical Access Hospital,5
Amador,2016,Died,114
Amador,2016,Home Health Service,533
Amador,2016,Hospice_Care,75
Amador,2016,Left Against Medical Advice,43
Amador,2016,Not_Defined_Elsewhere,9
Amador,2016,Prison/Jail,268
Amador,2016,Psychiatric_Care,13
Amador,2016,Rehab,37
Amador,2016,Residential Care facility,23
Amador,2016,Routine (Home),2768
Amador,2016,Skilled Nursing/Intermediate Care (SN/IC),480
Amador,2017,Acute Care,159
Amador,2017,Critical Access Hospital,4
Amador,2017,Died,84
Amador,2017,Home Health Service,750
Amador,2017,Hospice_Care,95
Amador,2017,Left Against Medical Advice,45
Amador,2017,Not_Defined_Elsewhere,3
Amador,2017,Prison/Jail,324
Amador,2017,Psychiatric_Care,4
Amador,2017,Rehab,49
Amador,2017,Residential Care facility,20
Amador,2017,Routine (Home),2521
Amador,2017,Skilled Nursing/Intermediate Care (SN/IC),511
Amador,2018,Acute Care,197
Amador,2018,Childrens_or_Cancer,68
Amador,2018,Critical Access Hospital,6
Amador,2018,Died,113
Amador,2018,Home Health Service,734
Amador,2018,Hospice_Care,72
Amador,2018,Left Against Medical Advice,49
Amador,2018,Not_Defined_Elsewhere,7
Amador,2018,Prison/Jail,224
Amador,2018,Psychiatric_Care,3
Amador,2018,Rehab,60
Amador,2018,Residential Care facility,17
Amador,2018,Routine (Home),2454
Amador,2018,Skilled Nursing/Intermediate Care (SN/IC),556
Amador,2019,Acute Care,167
Amador,2019,Critical Access Hospital,1
Amador,2019,Died,95
Amador,2019,Home Health Service,719
Amador,2019,Hospice_Care,95
Amador,2019,Left Against Medical Advice,41
Amador,2019,Not_Defined_Elsewhere,6
Amador,2019,Prison/Jail,298
Amador,2019,Psychiatric_Care,6
Amador,2019,Rehab,39
Amador,2019,Residential Care facility,21
Amador,2019,Routine (Home),2498
Amador,2019,Skilled Nursing/Intermediate Care (SN/IC),540
Amador,2020,Acute Care,165
Amador,2020,Critical Access Hospital,4
Amador,2020,Died,104
Amador,2020,Home Health Service,802
Amador,2020,Hospice_Care,83
Amador,2020,Left Against Medical Advice,49
Amador,2020,Not_Defined_Elsewhere,4
Amador,2020,Prison/Jail,222
Amador,2020,Psychiatric_Care,8
Amador,2020,Rehab,47
Amador,2020,Residential Care facility,15
Amador,2020,Routine (Home),2225
Amador,2020,Skilled Nursing/Intermediate Care (SN/IC),365
Amador,2021,Acute Care,164
Amador,2021,Critical Access Hospital,4
Amador,2021,Died,139
Amador,2021,Home Health Service,761
Amador,2021,Hospice_Care,103
Amador,2021,Left Against Medical Advice,61
Amador,2021,Not_Defined_Elsewhere,5
Amador,2021,Prison/Jail,155
Amador,2021,Psychiatric_Care,5
Amador,2021,Rehab,48
Amador,2021,Residential Care facility,15
Amador,2021,Routine (Home),2328
Amador,2021,Skilled Nursing/Intermediate Care (SN/IC),421
Amador,2022,Acute Care,176
Amador,2022,Critical Access Hospital,1
Amador,2022,Died,120
Amador,2022,Home Health Service,704
Amador,2022,Hospice_Care,94
Amador,2022,Left Against Medical Advice,70
Amador,2022,Not_Defined_Elsewhere,5
Amador,2022,Other,1
Amador,2022,Prison/Jail,146
Amador,2022,Psychiatric_Care,4
Amador,2022,Rehab,42
Amador,2022,Residential Care facility,17
Amador,2022,Routine (Home),2328
Amador,2022,Skilled Nursing/Intermediate Care (SN/IC),442
Amador,2023,Acute Care,215
Amador,2023,Critical Access Hospital,2
Amador,2023,Died,123
Amador,2023,Home Health Service,636
Amador,2023,Hospice_Care,96
Amador,2023,Left Against Medical Advice,74
Amador,2023,Not_Defined_Elsewhere,8
Amador,2023,Other,1
Amador,2023,Prison/Jail,190
Amador,2023,Psychiatric_Care,6
Amador,2023,Rehab,52
Amador,2023,Residential Care facility,25
Amador,2023,Routine (Home),2566
Amador,2023,Skilled Nursing/Intermediate Care (SN/IC),520
Butte,2012,Acute Care at another hospital,618
Butte,2012,Acute Care within the admitting hospital,105
Butte,2012,Died,647
Butte,2012,Home Health Service,2955
Butte,2012,Left Against Medical Advice,599
Butte,2012,Other,56
Butte,2012,Other Care (not SN/IC) at another hospital,200
Butte,2012,Other Care with the admitting hospital,355
Butte,2012,Prison/Jail,37
Butte,2012,Residential Care facility,113
Butte,2012,Routine (Home),23280
Butte,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,621
Butte,2012,SN/IC at another facility,2791
Butte,2013,Acute Care at another hospital,657
Butte,2013,Acute Care within the admitting hospital,114
Butte,2013,Died,583
Butte,2013,Home Health Service,2939
Butte,2013,Left Against Medical Advice,699
Butte,2013,Other,53
Butte,2013,Other Care (not SN/IC) at another hospital,197
Butte,2013,Other Care with the admitting hospital,392
Butte,2013,Prison/Jail,34
Butte,2013,Residential Care facility,151
Butte,2013,Routine (Home),23170
Butte,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,497
Butte,2013,SN/IC at another facility,2936
Butte,2014,Acute Care at another hospital,703
Butte,2014,Acute Care within the admitting hospital,68
Butte,2014,Died,523
Butte,2014,Home Health Service,2811
Butte,2014,Invalid,7
Butte,2014,Left Against Medical Advice,838
Butte,2014,Other,44
Butte,2014,Other Care (not SN/IC) at another hospital,208
Butte,2014,Other Care with the admitting hospital,325
Butte,2014,Prison/Jail,51
Butte,2014,Residential Care facility,168
Butte,2014,Routine (Home),23629
Butte,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,96
Butte,2014,SN/IC at another facility,3034
Butte,2015,Acute Care,716
Butte,2015,Childrens_or_Cancer,10
Butte,2015,Critical Access Hospital,10
Butte,2015,Died,610
Butte,2015,Home Health Service,3313
Butte,2015,Hospice_Care,320
Butte,2015,Invalid or Blank,2
Butte,2015,Left Against Medical Advice,868
Butte,2015,Not_Defined_Elsewhere,26
Butte,2015,Other,6
Butte,2015,Prison/Jail,41
Butte,2015,Psychiatric_Care,111
Butte,2015,Rehab,401
Butte,2015,Residential Care facility,52
Butte,2015,Routine (Home),23536
Butte,2015,Skilled Nursing/Intermediate Care (SN/IC),3273
Butte,2016,Acute Care,685
Butte,2016,Critical Access Hospital,16
Butte,2016,Died,576
Butte,2016,Home Health Service,3099
Butte,2016,Hospice_Care,339
Butte,2016,Left Against Medical Advice,929
Butte,2016,Not_Defined_Elsewhere,42
Butte,2016,Other,6
Butte,2016,Prison/Jail,49
Butte,2016,Psychiatric_Care,120
Butte,2016,Rehab,391
Butte,2016,Residential Care facility,168
Butte,2016,Routine (Home),24569
Butte,2016,Skilled Nursing/Intermediate Care (SN/IC),3293
Butte,2017,Acute Care,735
Butte,2017,Childrens_or_Cancer,1
Butte,2017,Critical Access Hospital,8
Butte,2017,Died,592
Butte,2017,Home Health Service,3194
Butte,2017,Hospice_Care,343
Butte,2017,Left Against Medical Advice,939
Butte,2017,Not_Defined_Elsewhere,36
Butte,2017,Other,4
Butte,2017,Prison/Jail,68
Butte,2017,Psychiatric_Care,133
Butte,2017,Rehab,456
Butte,2017,Residential Care facility,151
Butte,2017,Routine (Home),24578
Butte,2017,Skilled Nursing/Intermediate Care (SN/IC),3605
Butte,2018,Acute Care,796
Butte,2018,Critical Access Hospital,9
Butte,2018,Died,656
Butte,2018,Disaster_Care_Site,58
Butte,2018,Home Health Service,2966
Butte,2018,Hospice_Care,319
Butte,2018,Invalid or Blank,1
Butte,2018,Left Against Medical Advice,1021
Butte,2018,Not_Defined_Elsewhere,21
Butte,2018,Prison/Jail,96
Butte,2018,Psychiatric_Care,82
Butte,2018,Rehab,439
Butte,2018,Residential Care facility,233
Butte,2018,Routine (Home),25114
Butte,2018,Skilled Nursing/Intermediate Care (SN/IC),3658
Butte,2019,Acute Care,686
Butte,2019,Critical Access Hospital,8
Butte,2019,Died,628
Butte,2019,Home Health Service,2869
Butte,2019,Hospice_Care,229
Butte,2019,Left Against Medical Advice,893
Butte,2019,Not_Defined_Elsewhere,19
Butte,2019,Prison/Jail,93
Butte,2019,Psychiatric_Care,72
Butte,2019,Rehab,390
Butte,2019,Residential Care facility,205
Butte,2019,Routine (Home),23583
Butte,2019,Skilled Nursing/Intermediate Care (SN/IC),3384
Butte,2020,Acute Care,540
Butte,2020,Childrens_or_Cancer,1
Butte,2020,Critical Access Hospital,12
Butte,2020,Died,614
Butte,2020,Home Health Service,3059
Butte,2020,Hospice_Care,273
Butte,2020,Invalid or Blank,2
Butte,2020,Left Against Medical Advice,1328
Butte,2020,Not_Defined_Elsewhere,10
Butte,2020,Other,2
Butte,2020,Prison/Jail,98
Butte,2020,Psychiatric_Care,68
Butte,2020,Rehab,387
Butte,2020,Residential Care facility,179
Butte,2020,Routine (Home),21066
Butte,2020,Skilled Nursing/Intermediate Care (SN/IC),2623
Butte,2021,Acute Care,685
Butte,2021,Critical Access Hospital,9
Butte,2021,Died,822
Butte,2021,Home Health Service,3392
Butte,2021,Hospice_Care,280
Butte,2021,Invalid or Blank,1
Butte,2021,Left Against Medical Advice,1406
Butte,2021,Not_Defined_Elsewhere,9
Butte,2021,Other,2
Butte,2021,Prison/Jail,73
Butte,2021,Psychiatric_Care,46
Butte,2021,Rehab,386
Butte,2021,Residential Care facility,219
Butte,2021,Routine (Home),20862
Butte,2021,Skilled Nursing/Intermediate Care (SN/IC),2841
Butte,2022,Acute Care,639
Butte,2022,Critical Access Hospital,8
Butte,2022,Died,762
Butte,2022,Home Health Service,3348
Butte,2022,Hospice_Care,355
Butte,2022,Left Against Medical Advice,971
Butte,2022,Not_Defined_Elsewhere,9
Butte,2022,Other,9
Butte,2022,Prison/Jail,75
Butte,2022,Psychiatric_Care,38
Butte,2022,Rehab,391
Butte,2022,Residential Care facility,180
Butte,2022,Routine (Home),19196
Butte,2022,Skilled Nursing/Intermediate Care (SN/IC),2886
Butte,2023,Acute Care,726
Butte,2023,Childrens_or_Cancer,1
Butte,2023,Died,730
Butte,2023,Home Health Service,3124
Butte,2023,Hospice_Care,286
Butte,2023,Invalid or Blank,10
Butte,2023,Left Against Medical Advice,798
Butte,2023,Not_Defined_Elsewhere,13
Butte,2023,Other,9
Butte,2023,Prison/Jail,56
Butte,2023,Psychiatric_Care,35
Butte,2023,Rehab,405
Butte,2023,Residential Care facility,196
Butte,2023,Routine (Home),19578
Butte,2023,Skilled Nursing/Intermediate Care (SN/IC),3097
Calaveras,2012,Acute Care at another hospital,190
Calaveras,2012,Acute Care within the admitting hospital,9
Calaveras,2012,Died,150
Calaveras,2012,Home Health Service,705
Calaveras,2012,Left Against Medical Advice,49
Calaveras,2012,Other,17
Calaveras,2012,Other Care (not SN/IC) at another hospital,42
Calaveras,2012,Other Care with the admitting hospital,12
Calaveras,2012,Prison/Jail,3
Calaveras,2012,Residential Care facility,9
Calaveras,2012,Routine (Home),3277
Calaveras,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,45
Calaveras,2012,SN/IC at another facility,478
Calaveras,2013,Acute Care at another hospital,181
Calaveras,2013,Acute Care within the admitting hospital,7
Calaveras,2013,Died,108
Calaveras,2013,Home Health Service,720
Calaveras,2013,Left Against Medical Advice,47
Calaveras,2013,Other,6
Calaveras,2013,Other Care (not SN/IC) at another hospital,58
Calaveras,2013,Other Care with the admitting hospital,5
Calaveras,2013,Prison/Jail,5
Calaveras,2013,Residential Care facility,23
Calaveras,2013,Routine (Home),3127
Calaveras,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,40
Calaveras,2013,SN/IC at another facility,446
Calaveras,2014,Acute Care at another hospital,204
Calaveras,2014,Acute Care within the admitting hospital,4
Calaveras,2014,Died,104
Calaveras,2014,Home Health Service,676
Calaveras,2014,Invalid,1
Calaveras,2014,Left Against Medical Advice,54
Calaveras,2014,Other,10
Calaveras,2014,Other Care (not SN/IC) at another hospital,54
Calaveras,2014,Other Care with the admitting hospital,6
Calaveras,2014,Prison/Jail,4
Calaveras,2014,Residential Care facility,13
Calaveras,2014,Routine (Home),2962
Calaveras,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,57
Calaveras,2014,SN/IC at another facility,448
Calaveras,2015,Acute Care,151
Calaveras,2015,Childrens_or_Cancer,44
Calaveras,2015,Critical Access Hospital,4
Calaveras,2015,Died,90
Calaveras,2015,Home Health Service,690
Calaveras,2015,Hospice_Care,40
Calaveras,2015,Invalid or Blank,36
Calaveras,2015,Left Against Medical Advice,186
Calaveras,2015,Not_Defined_Elsewhere,8
Calaveras,2015,Other,3
Calaveras,2015,Prison/Jail,1
Calaveras,2015,Psychiatric_Care,6
Calaveras,2015,Rehab,40
Calaveras,2015,Residential Care facility,18
Calaveras,2015,Routine (Home),3090
Calaveras,2015,Skilled Nursing/Intermediate Care (SN/IC),387
Calaveras,2016,Acute Care,242
Calaveras,2016,Childrens_or_Cancer,1
Calaveras,2016,Critical Access Hospital,4
Calaveras,2016,Died,132
Calaveras,2016,Home Health Service,703
Calaveras,2016,Hospice_Care,64
Calaveras,2016,Left Against Medical Advice,63
Calaveras,2016,Not_Defined_Elsewhere,7
Calaveras,2016,Other,1
Calaveras,2016,Prison/Jail,5
Calaveras,2016,Psychiatric_Care,12
Calaveras,2016,Rehab,25
Calaveras,2016,Residential Care facility,18
Calaveras,2016,Routine (Home),2909
Calaveras,2016,Skilled Nursing/Intermediate Care (SN/IC),488
Calaveras,2017,Acute Care,194
Calaveras,2017,Childrens_or_Cancer,3
Calaveras,2017,Critical Access Hospital,1
Calaveras,2017,Died,133
Calaveras,2017,Home Health Service,706
Calaveras,2017,Hospice_Care,75
Calaveras,2017,Invalid or Blank,1
Calaveras,2017,Left Against Medical Advice,77
Calaveras,2017,Not_Defined_Elsewhere,5
Calaveras,2017,Prison/Jail,4
Calaveras,2017,Psychiatric_Care,13
Calaveras,2017,Rehab,46
Calaveras,2017,Residential Care facility,21
Calaveras,2017,Routine (Home),3027
Calaveras,2017,Skilled Nursing/Intermediate Care (SN/IC),605
Calaveras,2018,Acute Care,199
Calaveras,2018,Childrens_or_Cancer,2
Calaveras,2018,Critical Access Hospital,3
Calaveras,2018,Died,142
Calaveras,2018,Home Health Service,689
Calaveras,2018,Hospice_Care,70
Calaveras,2018,Left Against Medical Advice,53
Calaveras,2018,Not_Defined_Elsewhere,5
Calaveras,2018,Prison/Jail,2
Calaveras,2018,Psychiatric_Care,15
Calaveras,2018,Rehab,46
Calaveras,2018,Residential Care facility,15
Calaveras,2018,Routine (Home),2968
Calaveras,2018,Skilled Nursing/Intermediate Care (SN/IC),589
Calaveras,2019,Acute Care,221
Calaveras,2019,Childrens_or_Cancer,2
Calaveras,2019,Died,132
Calaveras,2019,Home Health Service,689
Calaveras,2019,Hospice_Care,76
Calaveras,2019,Left Against Medical Advice,61
Calaveras,2019,Not_Defined_Elsewhere,13
Calaveras,2019,Prison/Jail,4
Calaveras,2019,Psychiatric_Care,14
Calaveras,2019,Rehab,51
Calaveras,2019,Residential Care facility,13
Calaveras,2019,Routine (Home),3131
Calaveras,2019,Skilled Nursing/Intermediate Care (SN/IC),610
Calaveras,2020,Acute Care,194
Calaveras,2020,Childrens_or_Cancer,2
Calaveras,2020,Critical Access Hospital,2
Calaveras,2020,Died,119
Calaveras,2020,Home Health Service,725
Calaveras,2020,Hospice_Care,108
Calaveras,2020,Left Against Medical Advice,74
Calaveras,2020,Not_Defined_Elsewhere,4
Calaveras,2020,Other,1
Calaveras,2020,Prison/Jail,3
Calaveras,2020,Psychiatric_Care,11
Calaveras,2020,Rehab,48
Calaveras,2020,Residential Care facility,18
Calaveras,2020,Routine (Home),2730
Calaveras,2020,Skilled Nursing/Intermediate Care (SN/IC),413
Calaveras,2021,Acute Care,179
Calaveras,2021,Childrens_or_Cancer,1
Calaveras,2021,Critical Access Hospital,2
Calaveras,2021,Died,150
Calaveras,2021,Home Health Service,698
