patcnty1,dsch_yr,srcsite1,Discharges,AnnotationCode,AnnotationDesc
Alameda,2017,Information not available/Unknown,83,,
Alameda,2017,Newborn (born in admitting hospital),18330,,
Alameda,2017,Newborn (born outside of hospital),41,,
Alameda,2017,"Newborn, Illogical Point of Origin",28,,
Alameda,2017,Non-health care facility,89033,,
Alameda,2017,SNF/ICF/ALF,4281,,
Alameda,2017,Transfer from a different hospital,8915,,
Alameda,2017,Transfer from ambulatory surgery,78,,
Alameda,2017,Transfer from another health care facility,1378,,
Alameda,2017,Transfer from hospice facility,451,,
Alameda,2017,Transfer from one distinct unit to another,789,,
Alameda,2018,Clinic or physicians' office,7453,,
Alameda,2018,Court/Law Enforcement,225,,
Alameda,2018,Information not available/Unknown,42,,
Alameda,2018,Newborn (born in admitting hospital),17800,,
Alameda,2018,Newborn (born outside of hospital),59,,
Alameda,2018,"Newborn, Illogical Point of Origin",10,,
Alameda,2018,Non-health care facility,89071,,
Alameda,2018,SNF/ICF/ALF,4828,,
Alameda,2018,Transfer from a different hospital,10332,,
Alameda,2018,Transfer from ambulatory surgery,74,,
Alameda,2018,Transfer from another health care facility,1075,,
Alameda,2018,Transfer from hospice facility,182,,
Alameda,2018,Transfer from one distinct unit to another,898,,
Alameda,2019,Clinic or physicians' office,7071,,
Alameda,2019,Court/Law Enforcement,242,,
Alameda,2019,Information not available/Unknown,59,,
Alameda,2019,Newborn (born in admitting hospital),17521,,
Alameda,2019,Newborn (born outside of hospital),35,,
Alameda,2019,"Newborn, Illogical Point of Origin",12,,
Alameda,2019,Non-health care facility,89328,,
Alameda,2019,SNF/ICF/ALF,4551,,
Alameda,2019,Transfer from a different hospital,10716,,
Alameda,2019,Transfer from ambulatory surgery,82,,
Alameda,2019,Transfer from another health care facility,1063,,
Alameda,2019,Transfer from hospice facility,174,,
Alameda,2019,Transfer from one distinct unit to another,953,,
Alameda,2020,Clinic or physicians' office,6114,,
Alameda,2020,Court/Law Enforcement,190,,
Alameda,2020,Information not available/Unknown,138,,
Alameda,2020,Newborn (born in admitting hospital),17079,,
Alameda,2020,Newborn (born outside of hospital),40,,
Alameda,2020,"Newborn, Illogical Point of Origin",9,,
Alameda,2020,Non-health care facility,80890,,
Alameda,2020,SNF/ICF/ALF,3745,,
Alameda,2020,Transfer from a different hospital,8903,,
Alameda,2020,Transfer from ambulatory surgery,32,,
Alameda,2020,Transfer from another health care facility,892,,
Alameda,2020,Transfer from hospice facility,143,,
Alameda,2020,Transfer from one distinct unit to another,1057,,
Alameda,2021,Clinic or physicians' office,5242,,
Alameda,2021,Court/Law Enforcement,186,,
Alameda,2021,Designated Disaster Alternative Care Site,9,,
Alameda,2021,Information not available/Unknown,109,,
Alameda,2021,Newborn (born in admitting hospital),16478,,
Alameda,2021,Newborn (born outside of hospital),51,,
Alameda,2021,"Newborn, Illogical Point of Origin",29,,
Alameda,2021,Non-health care facility,84358,,
Alameda,2021,SNF/ICF/ALF,3341,,
Alameda,2021,Transfer from a different hospital,9469,,
Alameda,2021,Transfer from ambulatory surgery,29,,
Alameda,2021,Transfer from another health care facility,836,,
Alameda,2021,Transfer from hospice facility,60,,
Alameda,2021,Transfer from one distinct unit to another,1245,,
Alameda,2022,Clinic or physicians' office,5216,,
Alameda,2022,Court/Law Enforcement,126,,
Alameda,2022,Designated Disaster Alternative Care Site,5,,
Alameda,2022,Information not available/Unknown,263,,
Alameda,2022,Newborn (born in admitting hospital),16390,,
Alameda,2022,Newborn (born outside of hospital),44,,
Alameda,2022,"Newborn, Illogical Point of Origin",10,,
Alameda,2022,Non-health care facility,86350,,
Alameda,2022,SNF/ICF/ALF,3321,,
Alameda,2022,Transfer from a different hospital,9486,,
Alameda,2022,Transfer from ambulatory surgery,36,,
Alameda,2022,Transfer from another health care facility,901,,
Alameda,2022,Transfer from hospice facility,68,,
Alameda,2022,Transfer from one distinct unit to another,992,,
Alameda,2023,Clinic or physicians' office,5319,,
Alameda,2023,Court/Law Enforcement,129,,
Alameda,2023,Designated Disaster Alternative Care Site,2,,
Alameda,2023,Information not available/Unknown,211,,
Alameda,2023,Newborn (born in admitting hospital),15967,,
Alameda,2023,Newborn (born outside of hospital),35,,
Alameda,2023,"Newborn, Illogical Point of Origin",24,,
Alameda,2023,Non-health care facility,91096,,
Alameda,2023,SNF/ICF/ALF,3348,,
Alameda,2023,Transfer from a different hospital,10506,,
Alameda,2023,Transfer from ambulatory surgery,33,,
Alameda,2023,Transfer from another health care facility,1101,,
Alameda,2023,Transfer from hospice facility,39,,
Alameda,2023,Transfer from one distinct unit to another,1219,,
Alpine,2012,Acute Inpatient Hospital Care,2,,
Alpine,2012,Home,22,,
Alpine,2012,Newborn (born in admitting hospital),6,,
Alpine,2012,Other,1,,
Alpine,2012,Other Inpatient Hospital Care,1,,
Alpine,2013,Acute Inpatient Hospital Care,3,,
Alpine,2013,Home,15,,
Alpine,2013,Newborn (born in admitting hospital),5,,
Alpine,2013,Residential Care Facility,1,,
Alpine,2014,Acute Inpatient Hospital Care,2,,
Alpine,2014,Home,14,,
Alpine,2014,Newborn (born in admitting hospital),1,,
Alpine,2014,Other,2,,
Alpine,2014,Skilled Nursing/Intermediate Care,1,,
Alpine,2015,Acute Inpatient Hospital Care,1,,
Alpine,2015,Home,18,,
Alpine,2015,Newborn (born in admitting hospital),5,,
Alpine,2015,Other,4,,
Alpine,2015,Other Inpatient Hospital Care,1,,
Alpine,2016,Acute Inpatient Hospital Care,1,,
Alpine,2016,Home,24,,
Alpine,2016,Newborn (born in admitting hospital),1,,
Alpine,2016,Other,2,,
Alpine,2017,Clinic or physicians' office,9,,
Alpine,2017,Information not available/Unknown,1,,
Alpine,2017,Newborn (born in admitting hospital),6,,
Alpine,2017,Non-health care facility,6,,
Alpine,2017,Transfer from a different hospital,7,,
Alpine,2018,Clinic or physicians' office,10,,
Alpine,2018,Newborn (born in admitting hospital),9,,
Alpine,2018,Newborn (born outside of hospital),1,,
Alpine,2018,Non-health care facility,26,,
Alpine,2018,SNF/ICF/ALF,1,,
Alpine,2018,Transfer from a different hospital,8,,
Alpine,2018,Transfer from another health care facility,1,,
Alpine,2018,Transfer from one distinct unit to another,1,,
Alpine,2019,Clinic or physicians' office,8,,
Alpine,2019,Newborn (born in admitting hospital),4,,
Alpine,2019,Non-health care facility,9,,
Alpine,2019,Transfer from a different hospital,3,,
Alpine,2020,Clinic or physicians' office,2,,
Alpine,2020,Newborn (born in admitting hospital),4,,
Alpine,2020,Non-health care facility,11,,
Alpine,2020,Transfer from a different hospital,9,,
Alpine,2021,Clinic or physicians' office,7,,
Alpine,2021,Information not available/Unknown,,2,Cell suppressed for complementary cell
Alpine,2021,Newborn (born in admitting hospital),,1,Cell suppressed for small numbers
Alpine,2021,Non-health care facility,12,,
Alpine,2021,SNF/ICF/ALF,1,,
Alpine,2021,Transfer from a different hospital,12,,
Alpine,2022,Clinic or physicians' office,3,,
Alpine,2022,Newborn (born in admitting hospital),,1,Cell suppressed for small numbers
Alpine,2022,Non-health care facility,11,,
Alpine,2022,Transfer from a different hospital,7,,
Alpine,2022,Transfer from one distinct unit to another,,2,Cells suppressed for complementary cell
Alpine,2023,Clinic or physicians' office,4,,
Alpine,2023,Information not available/Unknown,,2,Cell suppressed for complementary cell
Alpine,2023,Newborn (born in admitting hospital),,1,Cell suppressed for small numbers
Alpine,2023,Non-health care facility,16,,
Alpine,2023,Transfer from a different hospital,1,,
Amador,2012,Acute Inpatient Hospital Care,344,,
Amador,2012,Ambulatory Surgery,27,,
Amador,2012,Home,3297,,
Amador,2012,Newborn (born in admitting hospital),292,,
Amador,2012,Other,62,,
Amador,2012,Other Inpatient Hospital Care,18,,
Amador,2012,Prison/Jail,193,,
Amador,2012,Residential Care Facility,57,,
Amador,2012,Skilled Nursing/Intermediate Care,99,,
Amador,2013,Acute Inpatient Hospital Care,265,,
Amador,2013,Ambulatory Surgery,18,,
Amador,2013,Home,3186,,
Amador,2013,Newborn (born in admitting hospital),262,,
Amador,2013,Other,91,,
Amador,2013,Other Inpatient Hospital Care,13,,
Amador,2013,Prison/Jail,189,,
Amador,2013,Residential Care Facility,57,,
Amador,2013,Skilled Nursing/Intermediate Care,75,,
Amador,2014,Acute Inpatient Hospital Care,271,,
Amador,2014,Ambulatory Surgery,18,,
Amador,2014,Home,3133,,
Amador,2014,Newborn (born in admitting hospital),292,,
Amador,2014,Other,110,,
Amador,2014,Other Inpatient Hospital Care,19,,
Amador,2014,Prison/Jail,248,,
Amador,2014,Residential Care Facility,59,,
Amador,2014,Skilled Nursing/Intermediate Care,67,,
Amador,2015,Acute Inpatient Hospital Care,328,,
Amador,2015,Ambulatory Surgery,11,,
Amador,2015,Home,3277,,
Amador,2015,Newborn (born in admitting hospital),296,,
Amador,2015,Other,209,,
Amador,2015,Other Inpatient Hospital Care,14,,
Amador,2015,Prison/Jail,242,,
Amador,2015,Residential Care Facility,51,,
Amador,2015,Skilled Nursing/Intermediate Care,106,,
Amador,2016,Acute Inpatient Hospital Care,315,,
Amador,2016,Ambulatory Surgery,17,,
Amador,2016,Home,3207,,
Amador,2016,Newborn (born in admitting hospital),299,,
Amador,2016,Other,277,,
Amador,2016,Other Inpatient Hospital Care,43,,
Amador,2016,Prison/Jail,279,,
Amador,2016,Residential Care Facility,29,,
Amador,2016,Skilled Nursing/Intermediate Care,87,,
Amador,2017,Clinic or physicians' office,99,,
Amador,2017,Court/Law Enforcement,332,,
Amador,2017,Information not available/Unknown,3,,
Amador,2017,Newborn (born in admitting hospital),298,,
Amador,2017,Newborn (born outside of hospital),1,,
Amador,2017,"Newborn, Illogical Point of Origin",3,,
Amador,2017,Non-health care facility,2974,,
Amador,2017,SNF/ICF/ALF,113,,
Amador,2017,Transfer from a different hospital,665,,
Amador,2017,Transfer from ambulatory surgery,6,,
Amador,2017,Transfer from another health care facility,56,,
Amador,2017,Transfer from hospice facility,1,,
Amador,2017,Transfer from one distinct unit to another,18,,
Amador,2018,Clinic or physicians' office,101,,
Amador,2018,Court/Law Enforcement,238,,
Amador,2018,Information not available/Unknown,5,,
Amador,2018,Newborn (born in admitting hospital),299,,
Amador,2018,Non-health care facility,3068,,
Amador,2018,SNF/ICF/ALF,99,,
Amador,2018,Transfer from a different hospital,709,,
Amador,2018,Transfer from ambulatory surgery,4,,
Amador,2018,Transfer from another health care facility,30,,
Amador,2018,Transfer from one distinct unit to another,7,,
Amador,2019,Clinic or physicians' office,97,,
Amador,2019,Court/Law Enforcement,280,,
Amador,2019,Information not available/Unknown,1,,
Amador,2019,Newborn (born in admitting hospital),296,,
Amador,2019,Newborn (born outside of hospital),3,,
Amador,2019,Non-health care facility,2938,,
Amador,2019,SNF/ICF/ALF,116,,
Amador,2019,Transfer from a different hospital,758,,
Amador,2019,Transfer from ambulatory surgery,2,,
Amador,2019,Transfer from another health care facility,20,,
Amador,2019,Transfer from hospice facility,1,,
Amador,2019,Transfer from one distinct unit to another,14,,
Amador,2020,Clinic or physicians' office,89,,
Amador,2020,Court/Law Enforcement,202,,
Amador,2020,Newborn (born in admitting hospital),292,,
Amador,2020,Newborn (born outside of hospital),1,,
Amador,2020,Non-health care facility,2664,,
Amador,2020,SNF/ICF/ALF,86,,
Amador,2020,Transfer from a different hospital,717,,
Amador,2020,Transfer from ambulatory surgery,7,,
Amador,2020,Transfer from another health care facility,24,,
Amador,2020,Transfer from one distinct unit to another,11,,
Amador,2021,Clinic or physicians' office,115,,
Amador,2021,Court/Law Enforcement,134,,
Amador,2021,Information not available/Unknown,3,,
Amador,2021,Newborn (born in admitting hospital),343,,
Amador,2021,Newborn (born outside of hospital),2,,
Amador,2021,"Newborn, Illogical Point of Origin",1,,
Amador,2021,Non-health care facility,2685,,
Amador,2021,SNF/ICF/ALF,73,,
Amador,2021,Transfer from a different hospital,814,,
Amador,2021,Transfer from ambulatory surgery,3,,
Amador,2021,Transfer from another health care facility,16,,
Amador,2021,Transfer from hospice facility,1,,
Amador,2021,Transfer from one distinct unit to another,19,,
Amador,2022,Clinic or physicians' office,98,,
Amador,2022,Court/Law Enforcement,105,,
Amador,2022,Information not available/Unknown,1,,
Amador,2022,Newborn (born in admitting hospital),298,,
Amador,2022,Newborn (born outside of hospital),1,,
Amador,2022,"Newborn, Illogical Point of Origin",1,,
Amador,2022,Non-health care facility,2739,,
Amador,2022,SNF/ICF/ALF,76,,
Amador,2022,Transfer from a different hospital,804,,
Amador,2022,Transfer from ambulatory surgery,5,,
Amador,2022,Transfer from another health care facility,10,,
Amador,2022,Transfer from one distinct unit to another,12,,
Amador,2023,Clinic or physicians' office,130,,
Amador,2023,Court/Law Enforcement,119,,
Amador,2023,Information not available/Unknown,1,,
Amador,2023,Newborn (born in admitting hospital),288,,
Amador,2023,Non-health care facility,3121,,
Amador,2023,SNF/ICF/ALF,72,,
Amador,2023,Transfer from a different hospital,712,,
Amador,2023,Transfer from ambulatory surgery,2,,
Amador,2023,Transfer from another health care facility,52,,
Amador,2023,Transfer from one distinct unit to another,17,,
Butte,2012,Acute Inpatient Hospital Care,1721,,
Butte,2012,Ambulatory Surgery,258,,
Butte,2012,Home,26484,,
Butte,2012,Newborn (born in admitting hospital),2369,,
Butte,2012,Other,456,,
Butte,2012,Other Inpatient Hospital Care,81,,
Butte,2012,Prison/Jail,56,,
Butte,2012,Residential Care Facility,179,,
Butte,2012,Skilled Nursing/Intermediate Care,773,,
Butte,2013,Acute Inpatient Hospital Care,1628,,
Butte,2013,Ambulatory Surgery,207,,
Butte,2013,Home,26420,,
Butte,2013,Newborn (born in admitting hospital),2344,,
Butte,2013,Other,561,,
Butte,2013,Other Inpatient Hospital Care,100,,
Butte,2013,Prison/Jail,34,,
Butte,2013,Residential Care Facility,363,,
Butte,2013,Skilled Nursing/Intermediate Care,765,,
Butte,2014,Acute Inpatient Hospital Care,1178,,
Butte,2014,Ambulatory Surgery,258,,
Butte,2014,Home,26655,,
Butte,2014,Invalid,1,,
Butte,2014,Newborn (born in admitting hospital),2428,,
Butte,2014,Other,794,,
Butte,2014,Other Inpatient Hospital Care,90,,
Butte,2014,Prison/Jail,51,,
Butte,2014,Residential Care Facility,370,,
Butte,2014,Skilled Nursing/Intermediate Care,680,,
Butte,2015,Acute Inpatient Hospital Care,1192,,
Butte,2015,Ambulatory Surgery,197,,
Butte,2015,Home,27609,,
Butte,2015,Newborn (born in admitting hospital),2397,,
Butte,2015,Other,890,,
Butte,2015,Other Inpatient Hospital Care,97,,
Butte,2015,Prison/Jail,28,,
Butte,2015,Residential Care Facility,287,,
Butte,2015,Skilled Nursing/Intermediate Care,598,,
Butte,2016,Acute Inpatient Hospital Care,1149,,
Butte,2016,Ambulatory Surgery,236,,
Butte,2016,Home,28860,,
Butte,2016,Newborn (born in admitting hospital),2437,,
Butte,2016,Other,634,,
Butte,2016,Other Inpatient Hospital Care,174,,
Butte,2016,Prison/Jail,37,,
Butte,2016,Residential Care Facility,295,,
Butte,2016,Skilled Nursing/Intermediate Care,460,,
Butte,2017,Clinic or physicians' office,475,,
Butte,2017,Court/Law Enforcement,43,,
Butte,2017,Information not available/Unknown,5,,
Butte,2017,Newborn (born in admitting hospital),2353,,
Butte,2017,Newborn (born outside of hospital),7,,
Butte,2017,"Newborn, Illogical Point of Origin",2,,
Butte,2017,Non-health care facility,28548,,
Butte,2017,SNF/ICF/ALF,734,,
Butte,2017,Transfer from a different hospital,2016,,
Butte,2017,Transfer from ambulatory surgery,67,,
Butte,2017,Transfer from another health care facility,201,,
Butte,2017,Transfer from one distinct unit to another,392,,
Butte,2018,Clinic or physicians' office,599,,
Butte,2018,Court/Law Enforcement,70,,
Butte,2018,Information not available/Unknown,11,,
Butte,2018,Newborn (born in admitting hospital),2360,,
Butte,2018,Newborn (born outside of hospital),14,,
Butte,2018,"Newborn, Illogical Point of Origin",2,,
Butte,2018,Non-health care facility,29188,,
Butte,2018,SNF/ICF/ALF,542,,
Butte,2018,Transfer from a different hospital,1990,,
Butte,2018,Transfer from ambulatory surgery,42,,
Butte,2018,Transfer from another health care facility,183,,
Butte,2018,Transfer from hospice facility,2,,
Butte,2018,Transfer from one distinct unit to another,466,,
Butte,2019,Clinic or physicians' office,612,,
Butte,2019,Court/Law Enforcement,47,,
Butte,2019,Information not available/Unknown,9,,
Butte,2019,Newborn (born in admitting hospital),2100,,
Butte,2019,Newborn (born outside of hospital),7,,
Butte,2019,"Newborn, Illogical Point of Origin",1,,
Butte,2019,Non-health care facility,27707,,
Butte,2019,SNF/ICF/ALF,241,,
Butte,2019,Transfer from a different hospital,1681,,
Butte,2019,Transfer from ambulatory surgery,31,,
Butte,2019,Transfer from another health care facility,123,,
Butte,2019,Transfer from hospice facility,4,,
Butte,2019,Transfer from one distinct unit to another,496,,
Butte,2020,Clinic or physicians' office,491,,
Butte,2020,Court/Law Enforcement,43,,
Butte,2020,Information not available/Unknown,11,,
Butte,2020,Newborn (born in admitting hospital),1905,,
Butte,2020,Newborn (born outside of hospital),10,,
Butte,2020,"Newborn, Illogical Point of Origin",2,,
Butte,2020,Non-health care facility,25415,,
Butte,2020,SNF/ICF/ALF,280,,
Butte,2020,Transfer from a different hospital,1462,,
Butte,2020,Transfer from ambulatory surgery,18,,
Butte,2020,Transfer from another health care facility,81,,
Butte,2020,Transfer from one distinct unit to another,544,,
Butte,2021,Clinic or physicians' office,638,,
Butte,2021,Court/Law Enforcement,41,,
Butte,2021,Information not available/Unknown,15,,
Butte,2021,Newborn (born in admitting hospital),1993,,
Butte,2021,Newborn (born outside of hospital),6,,
Butte,2021,Non-health care facility,25534,,
Butte,2021,SNF/ICF/ALF,302,,
Butte,2021,Transfer from a different hospital,1619,,
Butte,2021,Transfer from ambulatory surgery,43,,
Butte,2021,Transfer from another health care facility,81,,
Butte,2021,Transfer from one distinct unit to another,761,,
Butte,2022,Clinic or physicians' office,607,,
Butte,2022,Court/Law Enforcement,36,,
Butte,2022,Information not available/Unknown,21,,
Butte,2022,Newborn (born in admitting hospital),1864,,
Butte,2022,Newborn (born outside of hospital),11,,
Butte,2022,"Newborn, Illogical Point of Origin",1,,
Butte,2022,Non-health care facility,23447,,
Butte,2022,SNF/ICF/ALF,368,,
Butte,2022,Transfer from a different hospital,1583,,
Butte,2022,Transfer from ambulatory surgery,40,,
Butte,2022,Transfer from another health care facility,68,,
Butte,2022,Transfer from one distinct unit to another,821,,
Butte,2023,Clinic or physicians' office,711,,
Butte,2023,Court/Law Enforcement,54,,
Butte,2023,Information not available/Unknown,40,,
Butte,2023,Newborn (born in admitting hospital),1972,,
Butte,2023,Newborn (born outside of hospital),10,,
Butte,2023,"Newborn, Illogical Point of Origin",1,,
Butte,2023,Non-health care facility,23335,,
Butte,2023,SNF/ICF/ALF,310,,
Butte,2023,Transfer from a different hospital,1468,,
Butte,2023,Transfer from ambulatory surgery,66,,
Butte,2023,Transfer from another health care facility,85,,
Butte,2023,Transfer from hospice facility,1,,
Butte,2023,Transfer from one distinct unit to another,1011,,
Calaveras,2012,Acute Inpatient Hospital Care,305,,
Calaveras,2012,Ambulatory Surgery,22,,
Calaveras,2012,Home,3946,,
Calaveras,2012,Newborn (born in admitting hospital),332,,
Calaveras,2012,Other,209,,
Calaveras,2012,Other Inpatient Hospital Care,61,,
Calaveras,2012,Prison/Jail,6,,
Calaveras,2012,Residential Care Facility,17,,
Calaveras,2012,Skilled Nursing/Intermediate Care,88,,
Calaveras,2013,Acute Inpatient Hospital Care,267,,
Calaveras,2013,Ambulatory Surgery,9,,
Calaveras,2013,Home,3802,,
Calaveras,2013,Newborn (born in admitting hospital),325,,
Calaveras,2013,Other,260,,
Calaveras,2013,Other Inpatient Hospital Care,39,,
Calaveras,2013,Prison/Jail,1,,
Calaveras,2013,Residential Care Facility,13,,
Calaveras,2013,Skilled Nursing/Intermediate Care,57,,
Calaveras,2014,Acute Inpatient Hospital Care,254,,
Calaveras,2014,Ambulatory Surgery,7,,
Calaveras,2014,Home,3615,,
Calaveras,2014,Newborn (born in admitting hospital),342,,
Calaveras,2014,Other,255,,
Calaveras,2014,Other Inpatient Hospital Care,40,,
Calaveras,2014,Prison/Jail,2,,
Calaveras,2014,Residential Care Facility,11,,
Calaveras,2014,Skilled Nursing/Intermediate Care,71,,
Calaveras,2015,Acute Inpatient Hospital Care,324,,
Calaveras,2015,Ambulatory Surgery,7,,
Calaveras,2015,Home,3652,,
Calaveras,2015,Newborn (born in admitting hospital),358,,
Calaveras,2015,Other,321,,
Calaveras,2015,Other Inpatient Hospital Care,46,,
Calaveras,2015,Residential Care Facility,18,,
Calaveras,2015,Skilled Nursing/Intermediate Care,68,,
Calaveras,2016,Acute Inpatient Hospital Care,300,,
Calaveras,2016,Ambulatory Surgery,4,,
Calaveras,2016,Home,3571,,
Calaveras,2016,Newborn (born in admitting hospital),359,,
Calaveras,2016,Other,324,,
Calaveras,2016,Other Inpatient Hospital Care,47,,
Calaveras,2016,Prison/Jail,1,,
Calaveras,2016,Residential Care Facility,15,,
Calaveras,2016,Skilled Nursing/Intermediate Care,53,,
Calaveras,2017,Clinic or physicians' office,283,,
Calaveras,2017,Court/Law Enforcement,4,,
Calaveras,2017,Information not available/Unknown,9,,
Calaveras,2017,Newborn (born in admitting hospital),400,,
Calaveras,2017,Newborn (born outside of hospital),3,,
Calaveras,2017,Non-health care facility,3285,,
Calaveras,2017,SNF/ICF/ALF,57,,
Calaveras,2017,Transfer from a different hospital,667,,
Calaveras,2017,Transfer from ambulatory surgery,6,,
Calaveras,2017,Transfer from another health care facility,114,,
Calaveras,2017,Transfer from hospice facility,5,,
Calaveras,2017,Transfer from one distinct unit to another,78,,
Calaveras,2018,Clinic or physicians' office,233,,
Calaveras,2018,Court/Law Enforcement,2,,
Calaveras,2018,Information not available/Unknown,2,,
Calaveras,2018,Newborn (born in admitting hospital),337,,
Calaveras,2018,Newborn (born outside of hospital),3,,
Calaveras,2018,"Newborn, Illogical Point of Origin",1,,
Calaveras,2018,Non-health care facility,3292,,
Calaveras,2018,SNF/ICF/ALF,75,,
Calaveras,2018,Transfer from a different hospital,731,,
Calaveras,2018,Transfer from ambulatory surgery,6,,
Calaveras,2018,Transfer from another health care facility,70,,
Calaveras,2018,Transfer from one distinct unit to another,46,,
Calaveras,2019,Clinic or physicians' office,276,,
Calaveras,2019,Information not available/Unknown,2,,
Calaveras,2019,Newborn (born in admitting hospital),367,,
Calaveras,2019,Newborn (born outside of hospital),1,,
Calaveras,2019,Non-health care facility,3331,,
Calaveras,2019,SNF/ICF/ALF,70,,
Calaveras,2019,Transfer from a different hospital,860,,
Calaveras,2019,Transfer from ambulatory surgery,2,,
Calaveras,2019,Transfer from another health care facility,69,,
Calaveras,2019,Transfer from one distinct unit to another,39,,
Calaveras,2020,Clinic or physicians' office,258,,
Calaveras,2020,Newborn (born in admitting hospital),334,,
Calaveras,2020,Newborn (born outside of hospital),3,,
Calaveras,2020,"Newborn, Illogical Point of Origin",2,,
Calaveras,2020,Non-health care facility,2972,,
Calaveras,2020,SNF/ICF/ALF,59,,
Calaveras,2020,Transfer from a different hospital,720,,
Calaveras,2020,Transfer from ambulatory surgery,4,,
Calaveras,2020,Transfer from another health care facility,58,,
Calaveras,2020,Transfer from hospice facility,1,,
Calaveras,2020,Transfer from one distinct unit to another,41,,
Calaveras,2021,Clinic or physicians' office,197,,
Calaveras,2021,Court/Law Enforcement,1,,
Calaveras,2021,Newborn (born in admitting hospital),362,,
Calaveras,2021,"Newborn, Illogical Point of Origin",1,,
Calaveras,2021,Non-health care facility,3009,,
Calaveras,2021,SNF/ICF/ALF,30,,
Calaveras,2021,Transfer from a different hospital,790,,
Calaveras,2021,Transfer from ambulatory surgery,4,,
Calaveras,2021,Transfer from another health care facility,27,,
Calaveras,2021,Transfer from one distinct unit to another,22,,
Calaveras,2022,Clinic or physicians' office,175,,
Calaveras,2022,Court/Law Enforcement,2,,
Calaveras,2022,Information not available/Unknown,2,,
Calaveras,2022,Newborn (born in admitting hospital),326,,
Calaveras,2022,"Newborn, Illogical Point of Origin",1,,
Calaveras,2022,Non-health care facility,3108,,
Calaveras,2022,SNF/ICF/ALF,55,,
Calaveras,2022,Transfer from a different hospital,803,,
Calaveras,2022,Transfer from ambulatory surgery,3,,
Calaveras,2022,Transfer from another health care facility,25,,
Calaveras,2022,Transfer from one distinct unit to another,25,,
Calaveras,2023,Clinic or physicians' office,181,,
Calaveras,2023,Information not available/Unknown,3,,
Calaveras,2023,Newborn (born in admitting hospital),358,,
Calaveras,2023,Newborn (born outside of hospital),3,,
Calaveras,2023,"Newborn, Illogical Point of Origin",1,,
Calaveras,2023,Non-health care facility,3323,,
Calaveras,2023,SNF/ICF/ALF,45,,
Calaveras,2023,Transfer from a different hospital,885,,
Calaveras,2023,Transfer from ambulatory surgery,7,,
Calaveras,2023,Transfer from another health care facility,50,,
Calaveras,2023,Transfer from one distinct unit to another,27,,
Colusa,2012,Acute Inpatient Hospital Care,213,,
Colusa,2012,Ambulatory Surgery,9,,
Colusa,2012,Home,1692,,
Colusa,2012,Newborn (born in admitting hospital),312,,
Colusa,2012,Other,90,,
Colusa,2012,Other Inpatient Hospital Care,6,,
Colusa,2012,Prison/Jail,1,,
Colusa,2012,Residential Care Facility,3,,
Colusa,2012,Skilled Nursing/Intermediate Care,23,,
Colusa,2013,Acute Inpatient Hospital Care,186,,
