patcnty1,dsch_yr,pay_cat1,Discharges
Calaveras,2015,Other Indigent,1
Calaveras,2015,Other Payer,16
Calaveras,2015,Private Coverage,1167
Calaveras,2015,Self-Pay,48
Calaveras,2015,Workers' Compensation,30
Calaveras,2016,County Indigent Program,4
Calaveras,2016,Medi-Cal,1141
Calaveras,2016,Medicare,2322
Calaveras,2016,Other Government,96
Calaveras,2016,Other Indigent,1
Calaveras,2016,Other Payer,12
Calaveras,2016,Private Coverage,1034
Calaveras,2016,Self-Pay,33
Calaveras,2016,Workers' Compensation,31
Calaveras,2017,County Indigent Program,5
Calaveras,2017,Invalid,1
Calaveras,2017,Medi-Cal,1033
Calaveras,2017,Medicare,2480
Calaveras,2017,Other Government,99
Calaveras,2017,Other Payer,12
Calaveras,2017,Private Coverage,1211
Calaveras,2017,Self-Pay,43
Calaveras,2017,Workers' Compensation,27
Calaveras,2018,County Indigent Program,4
Calaveras,2018,Medi-Cal,1041
Calaveras,2018,Medicare,2459
Calaveras,2018,Other Government,106
Calaveras,2018,Other Payer,7
Calaveras,2018,Private Coverage,1090
Calaveras,2018,Self-Pay,55
Calaveras,2018,Workers' Compensation,36
Calaveras,2019,County Indigent Program,2
Calaveras,2019,Medi-Cal,1048
Calaveras,2019,Medicare,2589
Calaveras,2019,Other Government,130
Calaveras,2019,Other Indigent,2
Calaveras,2019,Other Payer,16
Calaveras,2019,Private Coverage,1142
Calaveras,2019,Self-Pay,47
Calaveras,2019,Workers' Compensation,40
Calaveras,2020,County Indigent Program,3
Calaveras,2020,Medi-Cal,948
Calaveras,2020,Medicare,2318
Calaveras,2020,Other Government,142
Calaveras,2020,Other Payer,9
Calaveras,2020,Private Coverage,980
Calaveras,2020,Self-Pay,39
Calaveras,2020,Workers' Compensation,13
Calaveras,2021,County Indigent Program,7
Calaveras,2021,Invalid/Blank,7
Calaveras,2021,Medi-Cal,985
Calaveras,2021,Medicare,2124
Calaveras,2021,Other Government,165
Calaveras,2021,Other Payer,11
Calaveras,2021,Private Coverage,1087
Calaveras,2021,Self-Pay,35
Calaveras,2021,Workers' Compensation,22
Calaveras,2022,County Indigent Program,6
Calaveras,2022,Invalid/Blank,4
Calaveras,2022,Medi-Cal,939
Calaveras,2022,Medicare,2287
Calaveras,2022,Other Government,145
Calaveras,2022,Other Indigent,2
Calaveras,2022,Other Payer,15
Calaveras,2022,Private Coverage,1061
Calaveras,2022,Self-Pay,40
Calaveras,2022,Workers' Compensation,26
Calaveras,2023,County Indigent Program,11
Calaveras,2023,Invalid/Blank,9
Calaveras,2023,Medi-Cal,1040
Calaveras,2023,Medicare,2445
Calaveras,2023,Other Government,198
Calaveras,2023,Other Payer,13
Calaveras,2023,Private Coverage,1111
Calaveras,2023,Self-Pay,35
Calaveras,2023,Workers' Compensation,21
Colusa,2012,County Indigent Program,27
Colusa,2012,Medi-Cal,741
Colusa,2012,Medicare,873
Colusa,2012,Other Government,29
Colusa,2012,Other Payer,2
Colusa,2012,Private Coverage,553
Colusa,2012,Self-Pay,95
Colusa,2012,Workers' Compensation,29
Colusa,2013,County Indigent Program,57
Colusa,2013,Medi-Cal,668
Colusa,2013,Medicare,779
Colusa,2013,Other Government,22
Colusa,2013,Other Payer,5
Colusa,2013,Private Coverage,541
Colusa,2013,Self-Pay,109
Colusa,2013,Workers' Compensation,28
Colusa,2014,County Indigent Program,56
Colusa,2014,Medi-Cal,623
Colusa,2014,Medicare,836
Colusa,2014,Other Government,43
Colusa,2014,Other Payer,3
Colusa,2014,Private Coverage,545
Colusa,2014,Self-Pay,67
Colusa,2014,Workers' Compensation,22
Colusa,2015,County Indigent Program,2
Colusa,2015,Invalid,1
Colusa,2015,Medi-Cal,695
Colusa,2015,Medicare,802
Colusa,2015,Other Government,30
Colusa,2015,Other Payer,2
Colusa,2015,Private Coverage,558
Colusa,2015,Self-Pay,60
Colusa,2015,Workers' Compensation,10
Colusa,2016,Medi-Cal,695
Colusa,2016,Medicare,714
Colusa,2016,Other Government,43
Colusa,2016,Private Coverage,543
Colusa,2016,Self-Pay,35
Colusa,2016,Workers' Compensation,22
Colusa,2017,County Indigent Program,5
Colusa,2017,Medi-Cal,700
Colusa,2017,Medicare,726
Colusa,2017,Other Government,37
Colusa,2017,Private Coverage,519
Colusa,2017,Self-Pay,24
Colusa,2017,Workers' Compensation,20
Colusa,2018,County Indigent Program,2
Colusa,2018,Medi-Cal,793
Colusa,2018,Medicare,911
Colusa,2018,Other Government,39
Colusa,2018,Other Indigent,1
Colusa,2018,Other Payer,24
Colusa,2018,Private Coverage,535
Colusa,2018,Self-Pay,40
Colusa,2018,Workers' Compensation,22
Colusa,2019,County Indigent Program,11
Colusa,2019,Medi-Cal,759
Colusa,2019,Medicare,959
Colusa,2019,Other Government,49
Colusa,2019,Other Indigent,2
Colusa,2019,Other Payer,5
Colusa,2019,Private Coverage,444
Colusa,2019,Self-Pay,50
Colusa,2019,Workers' Compensation,15
Colusa,2020,County Indigent Program,6
Colusa,2020,Medi-Cal,716
Colusa,2020,Medicare,897
Colusa,2020,Other Government,44
Colusa,2020,Other Payer,12
Colusa,2020,Private Coverage,455
Colusa,2020,Self-Pay,28
Colusa,2020,Workers' Compensation,13
Colusa,2021,County Indigent Program,9
Colusa,2021,Medi-Cal,737
Colusa,2021,Medicare,924
Colusa,2021,Other Government,40
Colusa,2021,Other Payer,4
Colusa,2021,Private Coverage,539
Colusa,2021,Self-Pay,24
Colusa,2021,Workers' Compensation,10
Colusa,2022,County Indigent Program,15
Colusa,2022,Medi-Cal,667
Colusa,2022,Medicare,868
Colusa,2022,Other Government,47
Colusa,2022,Other Payer,3
Colusa,2022,Private Coverage,466
Colusa,2022,Self-Pay,29
Colusa,2022,Workers' Compensation,13
Colusa,2023,County Indigent Program,19
Colusa,2023,Medi-Cal,731
Colusa,2023,Medicare,991
Colusa,2023,Other Government,57
Colusa,2023,Other Payer,2
Colusa,2023,Private Coverage,474
Colusa,2023,Self-Pay,15
Colusa,2023,Workers' Compensation,15
Contra Costa,2012,County Indigent Program,1149
Contra Costa,2012,Invalid,15
Contra Costa,2012,Medi-Cal,18568
Contra Costa,2012,Medicare,36869
Contra Costa,2012,Other Government,1659
Contra Costa,2012,Other Indigent,153
Contra Costa,2012,Other Payer,172
Contra Costa,2012,Private Coverage,39588
Contra Costa,2012,Self-Pay,3742
Contra Costa,2012,Workers' Compensation,618
Contra Costa,2013,County Indigent Program,409
Contra Costa,2013,Invalid,1
Contra Costa,2013,Medi-Cal,19661
Contra Costa,2013,Medicare,35440
Contra Costa,2013,Other Government,1483
Contra Costa,2013,Other Indigent,84
Contra Costa,2013,Other Payer,271
Contra Costa,2013,Private Coverage,38364
Contra Costa,2013,Self-Pay,3641
Contra Costa,2013,Workers' Compensation,556
Contra Costa,2014,County Indigent Program,158
Contra Costa,2014,Invalid,4
Contra Costa,2014,Medi-Cal,21742
Contra Costa,2014,Medicare,34309
Contra Costa,2014,Other Government,1414
Contra Costa,2014,Other Indigent,14
Contra Costa,2014,Other Payer,326
Contra Costa,2014,Private Coverage,37245
Contra Costa,2014,Self-Pay,2853
Contra Costa,2014,Workers' Compensation,546
Contra Costa,2015,County Indigent Program,42
Contra Costa,2015,Invalid,6
Contra Costa,2015,Medi-Cal,22815
Contra Costa,2015,Medicare,36782
Contra Costa,2015,Other Government,1695
Contra Costa,2015,Other Indigent,12
Contra Costa,2015,Other Payer,309
Contra Costa,2015,Private Coverage,37713
Contra Costa,2015,Self-Pay,2428
Contra Costa,2015,Workers' Compensation,445
Contra Costa,2016,County Indigent Program,41
Contra Costa,2016,Invalid,9
Contra Costa,2016,Medi-Cal,22337
Contra Costa,2016,Medicare,35170
Contra Costa,2016,Other Government,1786
Contra Costa,2016,Other Indigent,12
Contra Costa,2016,Other Payer,112
Contra Costa,2016,Private Coverage,36684
Contra Costa,2016,Self-Pay,2113
Contra Costa,2016,Workers' Compensation,483
Contra Costa,2017,County Indigent Program,26
Contra Costa,2017,Invalid,2
Contra Costa,2017,Medi-Cal,21879
Contra Costa,2017,Medicare,36584
Contra Costa,2017,Other Government,1813
Contra Costa,2017,Other Indigent,13
Contra Costa,2017,Other Payer,144
Contra Costa,2017,Private Coverage,36875
Contra Costa,2017,Self-Pay,1936
Contra Costa,2017,Workers' Compensation,410
Contra Costa,2018,County Indigent Program,26
Contra Costa,2018,Invalid,9
Contra Costa,2018,Medi-Cal,20794
Contra Costa,2018,Medicare,36461
Contra Costa,2018,Other Government,2006
Contra Costa,2018,Other Indigent,16
Contra Costa,2018,Other Payer,199
Contra Costa,2018,Private Coverage,36033
Contra Costa,2018,Self-Pay,2005
Contra Costa,2018,Workers' Compensation,415
Contra Costa,2019,County Indigent Program,65
Contra Costa,2019,Medi-Cal,20241
Contra Costa,2019,Medicare,35635
Contra Costa,2019,Other Government,1995
Contra Costa,2019,Other Indigent,13
Contra Costa,2019,Other Payer,283
Contra Costa,2019,Private Coverage,36238
Contra Costa,2019,Self-Pay,2036
Contra Costa,2019,Workers' Compensation,378
Contra Costa,2020,County Indigent Program,19
Contra Costa,2020,Medi-Cal,18633
Contra Costa,2020,Medicare,30931
Contra Costa,2020,Other Government,2066
Contra Costa,2020,Other Indigent,4
Contra Costa,2020,Other Payer,230
Contra Costa,2020,Private Coverage,34503
Contra Costa,2020,Self-Pay,1636
Contra Costa,2020,Workers' Compensation,329
Contra Costa,2021,County Indigent Program,26
Contra Costa,2021,Medi-Cal,20144
Contra Costa,2021,Medicare,32836
Contra Costa,2021,Other Government,2201
Contra Costa,2021,Other Indigent,5
Contra Costa,2021,Other Payer,262
Contra Costa,2021,Private Coverage,35995
Contra Costa,2021,Self-Pay,1373
Contra Costa,2021,Workers' Compensation,297
Contra Costa,2022,County Indigent Program,36
Contra Costa,2022,Medi-Cal,20457
Contra Costa,2022,Medicare,35076
Contra Costa,2022,Other Government,2277
Contra Costa,2022,Other Indigent,6
Contra Costa,2022,Other Payer,340
Contra Costa,2022,Private Coverage,33756
Contra Costa,2022,Self-Pay,1335
Contra Costa,2022,Workers' Compensation,260
Contra Costa,2023,County Indigent Program,57
Contra Costa,2023,Invalid/Blank,1
Contra Costa,2023,Medi-Cal,21952
Contra Costa,2023,Medicare,37434
Contra Costa,2023,Other Government,2380
Contra Costa,2023,Other Indigent,4
Contra Costa,2023,Other Payer,201
Contra Costa,2023,Private Coverage,32542
Contra Costa,2023,Self-Pay,915
Contra Costa,2023,Workers' Compensation,298
Del Norte,2012,County Indigent Program,166
Del Norte,2012,Medi-Cal,828
Del Norte,2012,Medicare,901
Del Norte,2012,Other Government,77
Del Norte,2012,Other Payer,1
Del Norte,2012,Private Coverage,411
Del Norte,2012,Self-Pay,51
Del Norte,2012,Workers' Compensation,28
Del Norte,2013,County Indigent Program,109
Del Norte,2013,Medi-Cal,808
Del Norte,2013,Medicare,993
Del Norte,2013,Other Government,66
Del Norte,2013,Other Indigent,1
Del Norte,2013,Other Payer,1
Del Norte,2013,Private Coverage,389
Del Norte,2013,Self-Pay,66
Del Norte,2013,Workers' Compensation,38
Del Norte,2014,County Indigent Program,6
Del Norte,2014,Invalid,2
Del Norte,2014,Medi-Cal,921
Del Norte,2014,Medicare,940
Del Norte,2014,Other Government,88
Del Norte,2014,Other Indigent,1
Del Norte,2014,Other Payer,8
Del Norte,2014,Private Coverage,421
Del Norte,2014,Self-Pay,36
Del Norte,2014,Workers' Compensation,24
Del Norte,2015,County Indigent Program,5
Del Norte,2015,Medi-Cal,929
Del Norte,2015,Medicare,831
Del Norte,2015,Other Government,105
Del Norte,2015,Other Payer,3
Del Norte,2015,Private Coverage,317
Del Norte,2015,Self-Pay,31
Del Norte,2015,Workers' Compensation,22
Del Norte,2016,County Indigent Program,9
Del Norte,2016,Invalid,1
Del Norte,2016,Medi-Cal,864
Del Norte,2016,Medicare,940
Del Norte,2016,Other Government,143
Del Norte,2016,Other Payer,11
Del Norte,2016,Private Coverage,334
Del Norte,2016,Self-Pay,76
Del Norte,2016,Workers' Compensation,16
Del Norte,2017,County Indigent Program,5
Del Norte,2017,Medi-Cal,822
Del Norte,2017,Medicare,1046
Del Norte,2017,Other Government,97
Del Norte,2017,Other Indigent,2
Del Norte,2017,Other Payer,19
Del Norte,2017,Private Coverage,310
Del Norte,2017,Self-Pay,129
Del Norte,2017,Workers' Compensation,26
Del Norte,2018,County Indigent Program,3
Del Norte,2018,Medi-Cal,836
Del Norte,2018,Medicare,1105
Del Norte,2018,Other Government,148
Del Norte,2018,Other Indigent,1
Del Norte,2018,Other Payer,13
Del Norte,2018,Private Coverage,337
Del Norte,2018,Self-Pay,54
Del Norte,2018,Workers' Compensation,26
Del Norte,2019,County Indigent Program,4
Del Norte,2019,Medi-Cal,915
Del Norte,2019,Medicare,1165
Del Norte,2019,Other Government,116
Del Norte,2019,Other Payer,1
Del Norte,2019,Private Coverage,332
Del Norte,2019,Self-Pay,46
Del Norte,2019,Workers' Compensation,13
Del Norte,2020,County Indigent Program,1
Del Norte,2020,Medi-Cal,842
Del Norte,2020,Medicare,915
Del Norte,2020,Other Government,163
Del Norte,2020,Private Coverage,355
Del Norte,2020,Self-Pay,30
Del Norte,2020,Workers' Compensation,12
Del Norte,2021,County Indigent Program,5
Del Norte,2021,Medi-Cal,842
Del Norte,2021,Medicare,904
Del Norte,2021,Other Government,143
Del Norte,2021,Other Payer,2
Del Norte,2021,Private Coverage,332
Del Norte,2021,Self-Pay,35
Del Norte,2021,Workers' Compensation,22
Del Norte,2022,County Indigent Program,3
Del Norte,2022,Medi-Cal,857
Del Norte,2022,Medicare,1053
Del Norte,2022,Other Government,172
Del Norte,2022,Other Payer,3
Del Norte,2022,Private Coverage,349
