patcnty1,dsch_yr,typcare1,Discharges
Amador,2015,Chemical Dependency Recovery Care,1
Amador,2015,Physical Rehabilitation Care,40
Amador,2015,Psychiatric Care,133
Amador,2015,Skilled Nursing/Intermediate Care,10
Amador,2016,Acute Care,4300
Amador,2016,Chemical Dependency Recovery Care,1
Amador,2016,Physical Rehabilitation Care,41
Amador,2016,Psychiatric Care,205
Amador,2016,Skilled Nursing/Intermediate Care,6
Amador,2017,Acute Care,4390
Amador,2017,Chemical Dependency Recovery Care,1
Amador,2017,Physical Rehabilitation Care,45
Amador,2017,Psychiatric Care,123
Amador,2017,Skilled Nursing/Intermediate Care,10
Amador,2018,Acute Care,4393
Amador,2018,Chemical Dependency Recovery Care,2
Amador,2018,Physical Rehabilitation Care,61
Amador,2018,Psychiatric Care,98
Amador,2018,Skilled Nursing/Intermediate Care,6
Amador,2019,Acute Care,4347
Amador,2019,Chemical Dependency Recovery Care,1
Amador,2019,Physical Rehabilitation Care,47
Amador,2019,Psychiatric Care,128
Amador,2019,Skilled Nursing/Intermediate Care,3
Amador,2020,Acute Care,3913
Amador,2020,Chemical Dependency Recovery Care,2
Amador,2020,Physical Rehabilitation Care,47
Amador,2020,Psychiatric Care,128
Amador,2020,Skilled Nursing/Intermediate Care,3
Amador,2021,Acute Care,4040
Amador,2021,Physical Rehabilitation Care,45
Amador,2021,Psychiatric Care,121
Amador,2021,Skilled Nursing/Intermediate Care,3
Amador,2022,Acute Care,3974
Amador,2022,Chemical Dependency Recovery Care,1
Amador,2022,Physical Rehabilitation Care,45
Amador,2022,Psychiatric Care,129
Amador,2022,Skilled Nursing/Intermediate Care,1
Amador,2023,Acute Care,4319
Amador,2023,Chemical Dependency Recovery Care,2
Amador,2023,Physical Rehabilitation Care,56
Amador,2023,Psychiatric Care,132
Amador,2023,Skilled Nursing/Intermediate Care,5
Butte,2012,Acute Care,29918
Butte,2012,Chemical Dependency Recovery Care,11
Butte,2012,Physical Rehabilitation Care,394
Butte,2012,Psychiatric Care,1412
Butte,2012,Skilled Nursing/Intermediate Care,642
Butte,2013,Acute Care,29959
Butte,2013,Chemical Dependency Recovery Care,14
Butte,2013,Physical Rehabilitation Care,433
Butte,2013,Psychiatric Care,1488
Butte,2013,Skilled Nursing/Intermediate Care,528
Butte,2014,Acute Care,30456
Butte,2014,Chemical Dependency Recovery Care,9
Butte,2014,Physical Rehabilitation Care,373
Butte,2014,Psychiatric Care,1551
Butte,2014,Skilled Nursing/Intermediate Care,116
Butte,2015,Acute Care,31313
Butte,2015,Chemical Dependency Recovery Care,17
Butte,2015,Physical Rehabilitation Care,394
Butte,2015,Psychiatric Care,1402
Butte,2015,Skilled Nursing/Intermediate Care,169
Butte,2016,Acute Care,32260
Butte,2016,Chemical Dependency Recovery Care,8
Butte,2016,Physical Rehabilitation Care,386
Butte,2016,Psychiatric Care,1458
Butte,2016,Skilled Nursing/Intermediate Care,170
Butte,2017,Acute Care,32728
Butte,2017,Chemical Dependency Recovery Care,7
Butte,2017,Physical Rehabilitation Care,436
Butte,2017,Psychiatric Care,1524
Butte,2017,Skilled Nursing/Intermediate Care,148
Butte,2018,Acute Care,33467
Butte,2018,Chemical Dependency Recovery Care,12
Butte,2018,Physical Rehabilitation Care,410
Butte,2018,Psychiatric Care,1373
Butte,2018,Skilled Nursing/Intermediate Care,207
Butte,2019,Acute Care,31331
Butte,2019,Chemical Dependency Recovery Care,11
Butte,2019,Physical Rehabilitation Care,393
Butte,2019,Psychiatric Care,1047
Butte,2019,Skilled Nursing/Intermediate Care,277
Butte,2020,Acute Care,28664
Butte,2020,Chemical Dependency Recovery Care,5
Butte,2020,Physical Rehabilitation Care,370
Butte,2020,Psychiatric Care,923
Butte,2020,Skilled Nursing/Intermediate Care,300
Butte,2021,Acute Care,29104
Butte,2021,Chemical Dependency Recovery Care,11
Butte,2021,Physical Rehabilitation Care,388
Butte,2021,Psychiatric Care,967
Butte,2021,Skilled Nursing/Intermediate Care,563
Butte,2022,Acute Care,27049
Butte,2022,Chemical Dependency Recovery Care,12
Butte,2022,Physical Rehabilitation Care,391
Butte,2022,Psychiatric Care,753
Butte,2022,Skilled Nursing/Intermediate Care,662
Butte,2023,Acute Care,27023
Butte,2023,Chemical Dependency Recovery Care,9
Butte,2023,Physical Rehabilitation Care,427
Butte,2023,Psychiatric Care,808
Butte,2023,Skilled Nursing/Intermediate Care,797
Calaveras,2012,Acute Care,4740
Calaveras,2012,Physical Rehabilitation Care,37
Calaveras,2012,Psychiatric Care,162
Calaveras,2012,Skilled Nursing/Intermediate Care,47
Calaveras,2013,Acute Care,4553
Calaveras,2013,Chemical Dependency Recovery Care,2
Calaveras,2013,Physical Rehabilitation Care,28
Calaveras,2013,Psychiatric Care,158
Calaveras,2013,Skilled Nursing/Intermediate Care,32
Calaveras,2014,Acute Care,4370
Calaveras,2014,Chemical Dependency Recovery Care,3
Calaveras,2014,Physical Rehabilitation Care,30
Calaveras,2014,Psychiatric Care,163
Calaveras,2014,Skilled Nursing/Intermediate Care,31
Calaveras,2015,Acute Care,4563
Calaveras,2015,Physical Rehabilitation Care,33
Calaveras,2015,Psychiatric Care,170
Calaveras,2015,Skilled Nursing/Intermediate Care,28
Calaveras,2016,Acute Care,4470
Calaveras,2016,Chemical Dependency Recovery Care,1
Calaveras,2016,Physical Rehabilitation Care,30
Calaveras,2016,Psychiatric Care,139
Calaveras,2016,Skilled Nursing/Intermediate Care,34
Calaveras,2017,Acute Care,4655
Calaveras,2017,Chemical Dependency Recovery Care,3
Calaveras,2017,Physical Rehabilitation Care,44
Calaveras,2017,Psychiatric Care,140
Calaveras,2017,Skilled Nursing/Intermediate Care,69
Calaveras,2018,Acute Care,4575
Calaveras,2018,Chemical Dependency Recovery Care,1
Calaveras,2018,Physical Rehabilitation Care,56
Calaveras,2018,Psychiatric Care,124
Calaveras,2018,Skilled Nursing/Intermediate Care,42
Calaveras,2019,Acute Care,4790
Calaveras,2019,Chemical Dependency Recovery Care,2
Calaveras,2019,Physical Rehabilitation Care,53
Calaveras,2019,Psychiatric Care,142
Calaveras,2019,Skilled Nursing/Intermediate Care,30
Calaveras,2020,Acute Care,4228
Calaveras,2020,Chemical Dependency Recovery Care,3
Calaveras,2020,Physical Rehabilitation Care,46
Calaveras,2020,Psychiatric Care,149
Calaveras,2020,Skilled Nursing/Intermediate Care,26
Calaveras,2021,Acute Care,4184
Calaveras,2021,Chemical Dependency Recovery Care,3
Calaveras,2021,Physical Rehabilitation Care,57
Calaveras,2021,Psychiatric Care,186
Calaveras,2021,Skilled Nursing/Intermediate Care,13
Calaveras,2022,Acute Care,4250
Calaveras,2022,Chemical Dependency Recovery Care,3
Calaveras,2022,Physical Rehabilitation Care,61
Calaveras,2022,Psychiatric Care,206
Calaveras,2022,Skilled Nursing/Intermediate Care,5
Calaveras,2023,Acute Care,4538
Calaveras,2023,Chemical Dependency Recovery Care,4
Calaveras,2023,Physical Rehabilitation Care,99
Calaveras,2023,Psychiatric Care,229
Calaveras,2023,Skilled Nursing/Intermediate Care,13
Colusa,2012,Acute Care,2173
Colusa,2012,Chemical Dependency Recovery Care,2
Colusa,2012,Physical Rehabilitation Care,19
Colusa,2012,Psychiatric Care,51
Colusa,2012,Skilled Nursing/Intermediate Care,104
Colusa,2013,Acute Care,2071
Colusa,2013,Chemical Dependency Recovery Care,1
Colusa,2013,Physical Rehabilitation Care,14
Colusa,2013,Psychiatric Care,41
Colusa,2013,Skilled Nursing/Intermediate Care,82
Colusa,2014,Acute Care,2015
Colusa,2014,Chemical Dependency Recovery Care,3
Colusa,2014,Physical Rehabilitation Care,13
Colusa,2014,Psychiatric Care,59
Colusa,2014,Skilled Nursing/Intermediate Care,105
Colusa,2015,Acute Care,1993
Colusa,2015,Physical Rehabilitation Care,20
Colusa,2015,Psychiatric Care,37
Colusa,2015,Skilled Nursing/Intermediate Care,110
Colusa,2016,Acute Care,1953
Colusa,2016,Chemical Dependency Recovery Care,1
Colusa,2016,Physical Rehabilitation Care,16
Colusa,2016,Psychiatric Care,48
Colusa,2016,Skilled Nursing/Intermediate Care,34
Colusa,2017,Acute Care,1962
Colusa,2017,Chemical Dependency Recovery Care,2
Colusa,2017,Physical Rehabilitation Care,11
Colusa,2017,Psychiatric Care,51
Colusa,2017,Skilled Nursing/Intermediate Care,5
Colusa,2018,Acute Care,2222
Colusa,2018,Physical Rehabilitation Care,20
Colusa,2018,Psychiatric Care,55
Colusa,2018,Skilled Nursing/Intermediate Care,70
Colusa,2019,Acute Care,2139
Colusa,2019,Physical Rehabilitation Care,19
Colusa,2019,Psychiatric Care,55
Colusa,2019,Skilled Nursing/Intermediate Care,82
Colusa,2020,Acute Care,2009
Colusa,2020,Chemical Dependency Recovery Care,3
Colusa,2020,Physical Rehabilitation Care,20
Colusa,2020,Psychiatric Care,51
Colusa,2020,Skilled Nursing/Intermediate Care,89
Colusa,2021,Acute Care,2104
Colusa,2021,Physical Rehabilitation Care,23
Colusa,2021,Psychiatric Care,66
Colusa,2021,Skilled Nursing/Intermediate Care,94
Colusa,2022,Acute Care,1932
Colusa,2022,Physical Rehabilitation Care,26
Colusa,2022,Psychiatric Care,45
Colusa,2022,Skilled Nursing/Intermediate Care,105
Colusa,2023,Acute Care,2139
Colusa,2023,Physical Rehabilitation Care,27
Colusa,2023,Psychiatric Care,57
Colusa,2023,Skilled Nursing/Intermediate Care,81
Contra Costa,2012,Acute Care,96747
Contra Costa,2012,Chemical Dependency Recovery Care,566
Contra Costa,2012,Physical Rehabilitation Care,856
Contra Costa,2012,Psychiatric Care,4165
Contra Costa,2012,Skilled Nursing/Intermediate Care,199
Contra Costa,2013,Acute Care,94483
Contra Costa,2013,Chemical Dependency Recovery Care,526
Contra Costa,2013,Physical Rehabilitation Care,819
Contra Costa,2013,Psychiatric Care,3864
Contra Costa,2013,Skilled Nursing/Intermediate Care,218
Contra Costa,2014,Acute Care,93491
Contra Costa,2014,Chemical Dependency Recovery Care,477
Contra Costa,2014,Physical Rehabilitation Care,879
Contra Costa,2014,Psychiatric Care,3644
Contra Costa,2014,Skilled Nursing/Intermediate Care,120
Contra Costa,2015,Acute Care,97281
Contra Costa,2015,Chemical Dependency Recovery Care,450
Contra Costa,2015,Physical Rehabilitation Care,883
Contra Costa,2015,Psychiatric Care,3533
Contra Costa,2015,Skilled Nursing/Intermediate Care,100
Contra Costa,2016,Acute Care,93730
Contra Costa,2016,Chemical Dependency Recovery Care,409
Contra Costa,2016,Physical Rehabilitation Care,865
Contra Costa,2016,Psychiatric Care,3643
Contra Costa,2016,Skilled Nursing/Intermediate Care,100
Contra Costa,2017,Acute Care,94356
Contra Costa,2017,Chemical Dependency Recovery Care,438
Contra Costa,2017,Physical Rehabilitation Care,867
Contra Costa,2017,Psychiatric Care,3936
Contra Costa,2017,Skilled Nursing/Intermediate Care,85
Contra Costa,2018,Acute Care,92558
Contra Costa,2018,Chemical Dependency Recovery Care,415
Contra Costa,2018,Invalid/Blank,1
Contra Costa,2018,Physical Rehabilitation Care,955
Contra Costa,2018,Psychiatric Care,3982
Contra Costa,2018,Skilled Nursing/Intermediate Care,53
Contra Costa,2019,Acute Care,91782
Contra Costa,2019,Chemical Dependency Recovery Care,304
Contra Costa,2019,Physical Rehabilitation Care,907
Contra Costa,2019,Psychiatric Care,3839
Contra Costa,2019,Skilled Nursing/Intermediate Care,54
Contra Costa,2020,Acute Care,83765
Contra Costa,2020,Chemical Dependency Recovery Care,252
Contra Costa,2020,Physical Rehabilitation Care,811
Contra Costa,2020,Psychiatric Care,3467
Contra Costa,2020,Skilled Nursing/Intermediate Care,62
Contra Costa,2021,Acute Care,88411
Contra Costa,2021,Chemical Dependency Recovery Care,70
Contra Costa,2021,Invalid/Blank,1
Contra Costa,2021,Physical Rehabilitation Care,821
Contra Costa,2021,Psychiatric Care,3790
Contra Costa,2021,Skilled Nursing/Intermediate Care,46
Contra Costa,2022,Acute Care,88985
Contra Costa,2022,Chemical Dependency Recovery Care,93
Contra Costa,2022,Invalid/Blank,1
Contra Costa,2022,Physical Rehabilitation Care,721
Contra Costa,2022,Psychiatric Care,3700
Contra Costa,2022,Skilled Nursing/Intermediate Care,43
Contra Costa,2023,Acute Care,90689
Contra Costa,2023,Chemical Dependency Recovery Care,73
Contra Costa,2023,Physical Rehabilitation Care,769
Contra Costa,2023,Psychiatric Care,4220
Contra Costa,2023,Skilled Nursing/Intermediate Care,33
Del Norte,2012,Acute Care,2404
Del Norte,2012,Chemical Dependency Recovery Care,1
Del Norte,2012,Physical Rehabilitation Care,9
Del Norte,2012,Psychiatric Care,41
Del Norte,2012,Skilled Nursing/Intermediate Care,8
Del Norte,2013,Acute Care,2415
Del Norte,2013,Chemical Dependency Recovery Care,1
Del Norte,2013,Physical Rehabilitation Care,14
Del Norte,2013,Psychiatric Care,35
Del Norte,2013,Skilled Nursing/Intermediate Care,6
Del Norte,2014,Acute Care,2383
Del Norte,2014,Chemical Dependency Recovery Care,1
Del Norte,2014,Physical Rehabilitation Care,23
Del Norte,2014,Psychiatric Care,32
Del Norte,2014,Skilled Nursing/Intermediate Care,8
Del Norte,2015,Acute Care,2146
Del Norte,2015,Physical Rehabilitation Care,26
Del Norte,2015,Psychiatric Care,68
Del Norte,2015,Skilled Nursing/Intermediate Care,3
Del Norte,2016,Acute Care,2226
Del Norte,2016,Chemical Dependency Recovery Care,2
Del Norte,2016,Physical Rehabilitation Care,68
Del Norte,2016,Psychiatric Care,97
Del Norte,2016,Skilled Nursing/Intermediate Care,1
Del Norte,2017,Acute Care,2298
Del Norte,2017,Chemical Dependency Recovery Care,2
Del Norte,2017,Physical Rehabilitation Care,82
Del Norte,2017,Psychiatric Care,73
Del Norte,2017,Skilled Nursing/Intermediate Care,1
Del Norte,2018,Acute Care,2324
Del Norte,2018,Physical Rehabilitation Care,109
Del Norte,2018,Psychiatric Care,87
Del Norte,2018,Skilled Nursing/Intermediate Care,3
Del Norte,2019,Acute Care,2383
Del Norte,2019,Chemical Dependency Recovery Care,2
Del Norte,2019,Physical Rehabilitation Care,117
Del Norte,2019,Psychiatric Care,86
Del Norte,2019,Skilled Nursing/Intermediate Care,4
Del Norte,2020,Acute Care,2096
Del Norte,2020,Chemical Dependency Recovery Care,1
Del Norte,2020,Physical Rehabilitation Care,116
Del Norte,2020,Psychiatric Care,101
Del Norte,2020,Skilled Nursing/Intermediate Care,4
Del Norte,2021,Acute Care,2103
Del Norte,2021,Physical Rehabilitation Care,92
Del Norte,2021,Psychiatric Care,88
Del Norte,2021,Skilled Nursing/Intermediate Care,2
Del Norte,2022,Acute Care,2368
Del Norte,2022,Chemical Dependency Recovery Care,1
Del Norte,2022,Physical Rehabilitation Care,79
Del Norte,2022,Psychiatric Care,72
Del Norte,2022,Skilled Nursing/Intermediate Care,2
Del Norte,2023,Acute Care,2395
Del Norte,2023,Invalid/Blank,1
Del Norte,2023,Physical Rehabilitation Care,119
Del Norte,2023,Psychiatric Care,86
Del Norte,2023,Skilled Nursing/Intermediate Care,3
El Dorado,2012,Acute Care,15448
El Dorado,2012,Chemical Dependency Recovery Care,5
El Dorado,2012,Physical Rehabilitation Care,116
El Dorado,2012,Psychiatric Care,740
El Dorado,2012,Skilled Nursing/Intermediate Care,77
El Dorado,2013,Acute Care,15459
El Dorado,2013,Chemical Dependency Recovery Care,11
El Dorado,2013,Physical Rehabilitation Care,94
El Dorado,2013,Psychiatric Care,743
El Dorado,2013,Skilled Nursing/Intermediate Care,269
El Dorado,2014,Acute Care,14941
El Dorado,2014,Chemical Dependency Recovery Care,3
El Dorado,2014,Physical Rehabilitation Care,123
El Dorado,2014,Psychiatric Care,794
El Dorado,2014,Skilled Nursing/Intermediate Care,414
El Dorado,2015,Acute Care,15290
El Dorado,2015,Chemical Dependency Recovery Care,7
El Dorado,2015,Invalid/Blank,1
El Dorado,2015,Physical Rehabilitation Care,103
El Dorado,2015,Psychiatric Care,614
El Dorado,2015,Skilled Nursing/Intermediate Care,400
El Dorado,2016,Acute Care,15981
El Dorado,2016,Chemical Dependency Recovery Care,5
El Dorado,2016,Physical Rehabilitation Care,139
El Dorado,2016,Psychiatric Care,677
El Dorado,2016,Skilled Nursing/Intermediate Care,443
El Dorado,2017,Acute Care,16126
El Dorado,2017,Chemical Dependency Recovery Care,17
El Dorado,2017,Physical Rehabilitation Care,91
El Dorado,2017,Psychiatric Care,669
El Dorado,2017,Skilled Nursing/Intermediate Care,379
El Dorado,2018,Acute Care,16228
El Dorado,2018,Chemical Dependency Recovery Care,9
El Dorado,2018,Physical Rehabilitation Care,126
El Dorado,2018,Psychiatric Care,699
El Dorado,2018,Skilled Nursing/Intermediate Care,365
El Dorado,2019,Acute Care,15923
El Dorado,2019,Chemical Dependency Recovery Care,9
El Dorado,2019,Physical Rehabilitation Care,126
El Dorado,2019,Psychiatric Care,708
El Dorado,2019,Skilled Nursing/Intermediate Care,333
El Dorado,2020,Acute Care,14614
El Dorado,2020,Chemical Dependency Recovery Care,13
El Dorado,2020,Physical Rehabilitation Care,117
El Dorado,2020,Psychiatric Care,628
El Dorado,2020,Skilled Nursing/Intermediate Care,156
El Dorado,2021,Acute Care,15233
El Dorado,2021,Chemical Dependency Recovery Care,21
El Dorado,2021,Physical Rehabilitation Care,100
El Dorado,2021,Psychiatric Care,563
El Dorado,2021,Skilled Nursing/Intermediate Care,16
El Dorado,2022,Acute Care,14980
El Dorado,2022,Chemical Dependency Recovery Care,19
El Dorado,2022,Physical Rehabilitation Care,118
El Dorado,2022,Psychiatric Care,536
El Dorado,2022,Skilled Nursing/Intermediate Care,23
El Dorado,2023,Acute Care,14901
El Dorado,2023,Chemical Dependency Recovery Care,6
El Dorado,2023,Invalid/Blank,1
El Dorado,2023,Physical Rehabilitation Care,120
El Dorado,2023,Psychiatric Care,607
El Dorado,2023,Skilled Nursing/Intermediate Care,23
Fresno,2012,Acute Care,99988
Fresno,2012,Chemical Dependency Recovery Care,24
Fresno,2012,Physical Rehabilitation Care,501
Fresno,2012,Psychiatric Care,4766
Fresno,2012,Skilled Nursing/Intermediate Care,448
Fresno,2013,Acute Care,99030
Fresno,2013,Chemical Dependency Recovery Care,21
Fresno,2013,Physical Rehabilitation Care,542
Fresno,2013,Psychiatric Care,4899
Fresno,2013,Skilled Nursing/Intermediate Care,436
Fresno,2014,Acute Care,97604
Fresno,2014,Chemical Dependency Recovery Care,22
Fresno,2014,Physical Rehabilitation Care,577
Fresno,2014,Psychiatric Care,5076
Fresno,2014,Skilled Nursing/Intermediate Care,417
Fresno,2015,Acute Care,98650
Fresno,2015,Chemical Dependency Recovery Care,24
Fresno,2015,Physical Rehabilitation Care,584
Fresno,2015,Psychiatric Care,5030
Fresno,2015,Skilled Nursing/Intermediate Care,445
Fresno,2016,Acute Care,99118
Fresno,2016,Chemical Dependency Recovery Care,21
Fresno,2016,Physical Rehabilitation Care,620
Fresno,2016,Psychiatric Care,5245
Fresno,2016,Skilled Nursing/Intermediate Care,338
Fresno,2017,Acute Care,97817
Fresno,2017,Chemical Dependency Recovery Care,30
Fresno,2017,Physical Rehabilitation Care,628
Fresno,2017,Psychiatric Care,5737
Fresno,2017,Skilled Nursing/Intermediate Care,350
Fresno,2018,Acute Care,97872
Fresno,2018,Chemical Dependency Recovery Care,26
Fresno,2018,Physical Rehabilitation Care,673
Fresno,2018,Psychiatric Care,4944
Fresno,2018,Skilled Nursing/Intermediate Care,387
Fresno,2019,Acute Care,96405
Fresno,2019,Chemical Dependency Recovery Care,76
Fresno,2019,Invalid/Blank,1
Fresno,2019,Physical Rehabilitation Care,742
Fresno,2019,Psychiatric Care,4783
Fresno,2019,Skilled Nursing/Intermediate Care,287
Fresno,2020,Acute Care,91399
Fresno,2020,Chemical Dependency Recovery Care,62
Fresno,2020,Physical Rehabilitation Care,575
Fresno,2020,Psychiatric Care,4393
Fresno,2020,Skilled Nursing/Intermediate Care,183
Fresno,2021,Acute Care,95561
Fresno,2021,Chemical Dependency Recovery Care,122
Fresno,2021,Physical Rehabilitation Care,706
Fresno,2021,Psychiatric Care,4106
Fresno,2021,Skilled Nursing/Intermediate Care,275
Fresno,2022,Acute Care,98088
Fresno,2022,Chemical Dependency Recovery Care,100
Fresno,2022,Physical Rehabilitation Care,679
Fresno,2022,Psychiatric Care,4191
Fresno,2022,Skilled Nursing/Intermediate Care,238
Fresno,2023,Acute Care,96292
Fresno,2023,Chemical Dependency Recovery Care,89
Fresno,2023,Physical Rehabilitation Care,698
Fresno,2023,Psychiatric Care,5316
Fresno,2023,Skilled Nursing/Intermediate Care,221
Glenn,2012,Acute Care,2958
Glenn,2012,Chemical Dependency Recovery Care,1
Glenn,2012,Physical Rehabilitation Care,76
Glenn,2012,Psychiatric Care,117
Glenn,2012,Skilled Nursing/Intermediate Care,21
Glenn,2013,Acute Care,2896
Glenn,2013,Physical Rehabilitation Care,68
Glenn,2013,Psychiatric Care,83
Glenn,2013,Skilled Nursing/Intermediate Care,23
Glenn,2014,Acute Care,3243
Glenn,2014,Physical Rehabilitation Care,64
Glenn,2014,Psychiatric Care,99
Glenn,2014,Skilled Nursing/Intermediate Care,34
Glenn,2015,Acute Care,3102
Glenn,2015,Physical Rehabilitation Care,63
Glenn,2015,Psychiatric Care,85
Glenn,2015,Skilled Nursing/Intermediate Care,29
Glenn,2016,Acute Care,3165
Glenn,2016,Physical Rehabilitation Care,68
Glenn,2016,Psychiatric Care,93
Glenn,2016,Skilled Nursing/Intermediate Care,47
Glenn,2017,Acute Care,3158
Glenn,2017,Chemical Dependency Recovery Care,2
Glenn,2017,Physical Rehabilitation Care,68
Glenn,2017,Psychiatric Care,80
Glenn,2017,Skilled Nursing/Intermediate Care,28
Glenn,2018,Acute Care,3454
Glenn,2018,Physical Rehabilitation Care,70
Glenn,2018,Psychiatric Care,75
Glenn,2018,Skilled Nursing/Intermediate Care,86
Glenn,2019,Acute Care,3680
Glenn,2019,Physical Rehabilitation Care,64
Glenn,2019,Psychiatric Care,103
Glenn,2019,Skilled Nursing/Intermediate Care,133
Glenn,2020,Acute Care,3256
Glenn,2020,Chemical Dependency Recovery Care,1
Glenn,2020,Physical Rehabilitation Care,62
Glenn,2020,Psychiatric Care,83
Glenn,2020,Skilled Nursing/Intermediate Care,120
Glenn,2021,Acute Care,3349
Glenn,2021,Chemical Dependency Recovery Care,3
Glenn,2021,Physical Rehabilitation Care,76
Glenn,2021,Psychiatric Care,84
Glenn,2021,Skilled Nursing/Intermediate Care,113
Glenn,2022,Acute Care,3175
Glenn,2022,Physical Rehabilitation Care,76
Glenn,2022,Psychiatric Care,62
Glenn,2022,Skilled Nursing/Intermediate Care,151
Glenn,2023,Acute Care,3069
Glenn,2023,Physical Rehabilitation Care,82
Glenn,2023,Psychiatric Care,93
Glenn,2023,Skilled Nursing/Intermediate Care,114
Humboldt,2012,Acute Care,12055
Humboldt,2012,Chemical Dependency Recovery Care,6
